Book,Page,Type,Category,Legendary,CR,PB,XP,HP,AC,adj HP,adj AC,AB,adj AB,DPR,adj DPR
PotA,202.0,humanoid,unique,N,5.0,3,1800.0,71.5,14.0,71.5,14.0,7.0,7.0,56.0,56.0
VGtM,168.0,fey,generic,N,7.0,3,2900.0,102.0,17.0,153.0,17.0,9.0,9.0,48.0,48.0
FToD,207.0,monstrosity,generic,N,7.0,3,2900.0,119.0,16.0,238.0,16.0,7.0,8.0,24.666666,24.666666
ERftLW,299.0,construct,generic,N,7.0,3,2900.0,73.5,15.0,109.5,17.0,8.0,8.0,58.666668,58.666668
MToF,133.0,fiend,generic,N,7.0,3,2900.0,88.0,15.0,177.0,17.0,6.0,8.0,26.0,26.0
MM,222.0,aberration,generic,N,7.0,3,2900.0,71.5,15.0,71.5,19.0,7.0,7.0,52.666668,52.666668
VRGtR,238.0,undead,generic,N,7.0,3,2900.0,67.5,12.0,215.0,14.0,5.0,5.0,24.0,46.5
MM,239.0,giant,generic,N,7.0,3,2900.0,110.5,16.0,140.0,18.0,7.0,7.0,44.0,44.0
VRGtR,241.0,undead,generic,N,7.0,3,2900.0,60.0,14.0,91.0,16.0,7.0,7.0,60.333332,60.333332
VRGtR,241.0,undead,generic,N,7.0,3,2900.0,60.0,14.0,167.0,16.0,7.0,7.0,44.0,44.0
MToF,225.0,humanoid,generic,N,7.0,3,2900.0,71.5,15.0,71.5,15.0,6.0,6.0,96.0,96.0
MM,271.0,construct,generic,N,7.0,3,2900.0,142.5,17.0,172.0,17.0,7.0,7.0,35.333332,35.333332
MM,276.0,aberration,generic,N,7.0,3,2900.0,123.5,15.0,229.5,17.0,8.0,8.0,36.0,36.0
MM,156.0,giant,generic,N,7.0,3,2900.0,126.5,17.0,126.5,19.0,9.0,9.0,38.0,38.0
SKT,146.0,giant,generic,N,7.0,3,2900.0,126.5,17.0,189.0,19.0,9.0,9.0,38.0,38.0
EGtW,300.0,monstrosity,generic,N,7.0,3,2900.0,85.0,16.0,85.0,17.0,6.0,10.0,38.0,38.0
MToF,233.0,monstrosity,generic,N,7.0,3,2900.0,78.0,15.0,117.0,15.0,6.0,6.0,70.0,70.0
FToD,223.0,dragon,generic,N,7.0,3,2900.0,127.5,17.0,134.5,19.0,6.0,6.0,39.0,39.0
MToF,245.0,giant,generic,N,7.0,3,2900.0,94.5,15.0,124.0,15.0,7.0,7.0,50.0,50.0
ERftLW,307.0,aberration,generic,N,7.0,3,2900.0,68.0,16.0,136.0,16.0,6.0,6.0,39.0,39.0
CoS,230.0,humanoid,unique,N,8.0,3,3900.0,82.5,17.0,82.5,22.0,8.0,8.0,58.0,58.0
VGtM,219.0,humanoid,generic,N,7.0,3,2900.0,78.0,15.0,117.0,15.0,7.0,7.0,79.666664,79.666664
PotA,213.0,elemental,generic,N,7.0,3,2900.0,127.5,18.0,191.3,18.0,7.0,7.0,29.0,29.0
GGtR,248.0,humanoid,generic,N,7.0,3,2900.0,78.0,15.0,78.0,15.0,7.0,7.0,47.666668,47.666668
MOoT,247.0,aberration,generic,N,7.0,3,2900.0,110.5,17.0,110.5,17.0,7.0,7.0,49.0,49.0
MM,308.0,monstrosity,generic,N,7.0,3,2900.0,127.5,15.0,127.5,17.0,6.0,6.0,44.0,44.0
MToF,163.0,fiend,generic,N,6.0,3,2300.0,68.0,15.0,136.0,17.0,6.0,6.0,17.0,25.5
FToD,163.0,elemental,generic,N,6.0,3,2300.0,95.0,15.0,95.0,16.0,7.0,7.0,55.0,55.0
FToD,163.0,elemental,generic,N,6.0,3,2300.0,95.0,17.0,95.0,17.0,7.0,7.0,48.0,48.0
FToD,163.0,elemental,generic,N,6.0,3,2300.0,95.0,15.0,95.0,15.0,7.0,7.0,58.5,58.5
FToD,163.0,elemental,generic,N,6.0,3,2300.0,95.0,15.0,95.0,15.0,7.0,7.0,55.0,55.0
FToD,163.0,elemental,generic,N,6.0,3,2300.0,95.0,15.0,95.0,16.0,7.0,7.0,55.0,55.0
BGDiA,232.0,humanoid,generic,N,6.0,3,2300.0,51.0,16.0,51.0,20.0,7.0,7.0,66.0,66.0
GGtR,200.0,giant,generic,N,6.0,3,2300.0,103.5,14.0,103.5,16.0,9.0,9.0,32.0,32.0
VGtM,127.0,undead,generic,N,6.0,3,2300.0,58.5,15.0,87.0,15.0,5.0,5.0,64.0,64.0
MM,105.0,dragon,generic,N,6.0,3,2300.0,110.5,17.0,110.5,19.0,7.0,7.0,52.666668,52.666668
TftYP,231.0,undead,generic,N,6.0,3,2300.0,85.0,13.0,127.5,13.0,8.0,8.0,35.333332,35.333332
MM,57.0,fiend,generic,N,6.0,3,2300.0,84.5,15.0,126.0,17.0,5.0,5.0,40.0,40.0
MM,39.0,monstrosity,generic,N,6.0,3,2300.0,114.0,14.0,114.0,14.0,7.0,7.0,53.333332,53.333332
VGtM,212.0,humanoid,generic,N,6.0,3,2300.0,40.5,15.0,60.0,15.0,6.0,6.0,67.333336,67.333336
EGtW,248.0,construct,unique,N,1.0,2,200.0,5.0,9.0,10.0,11.0,7.0,7.0,13.0,13.0
EGtW,286.0,aberration,generic,N,6.0,3,2300.0,102.0,15.0,102.0,19.0,6.0,6.0,42.0,42.0
MM,45.0,giant,generic,N,6.0,3,2300.0,138.0,14.0,138.0,14.0,9.0,9.0,38.0,38.0
FToD,180.0,monstrosity,generic,N,6.0,3,2300.0,67.5,17.0,67.5,22.0,6.0,6.0,40.0,40.0
FToD,185.0,humanoid,generic,N,6.0,3,2300.0,75.0,17.0,95.0,19.0,7.0,7.0,58.0,58.0
FToD,187.0,monstrosity,generic,N,6.0,3,2300.0,66.5,15.0,96.5,17.0,7.0,7.0,46.666668,46.666668
MM,120.0,monstrosity,generic,N,6.0,3,2300.0,123.5,19.0,123.5,19.0,6.0,6.0,33.0,33.0
MToF,192.0,humanoid,generic,N,6.0,3,2300.0,75.0,20.0,75.0,22.0,7.0,7.0,74.0,74.0
ERftLW,292.0,fey,generic,N,6.0,3,2300.0,82.5,17.0,82.5,20.0,7.0,7.0,46.333332,46.333332
MOoT,220.0,fiend,generic,N,6.0,3,2300.0,90.0,17.0,90.0,19.0,7.0,7.0,37.333332,37.333332
PotA,201.0,humanoid,generic,N,6.0,3,2300.0,105.0,15.0,105.0,15.0,6.0,6.0,65.0,65.0
MToF,146.0,fiend,unique,LL,23.0,7,50000.0,337.5,18.0,533.8,22.0,16.0,16.0,222.0,222.0
OotA,238.0,fiend,unique,LL,23.0,7,50000.0,350.0,18.0,550.0,22.0,16.0,16.0,269.0,269.0
IDRotF,288.0,undead,generic,N,6.0,3,2300.0,102.0,14.0,102.0,14.0,9.0,9.0,50.0,50.0
MM,139.0,elemental,generic,N,6.0,3,2300.0,85.5,16.0,127.5,16.0,8.0,8.0,31.0,31.0
VRGtR,234.0,undead,generic,N,6.0,3,2300.0,85.5,12.0,128.3,12.0,7.0,7.0,46.5,46.5
VGtM,125.0,aberration,generic,N,6.0,3,2300.0,67.5,15.0,88.0,21.0,6.0,6.0,48.666668,48.666668
MM,161.0,humanoid,generic,N,6.0,3,2300.0,84.5,17.0,84.5,24.0,7.0,7.0,48.0,48.0
EGtW,291.0,monstrosity,generic,N,6.0,3,2300.0,90.0,15.0,90.0,17.0,9.0,9.0,42.0,50.0
VGtM,159.0,fey,generic,N,6.0,3,2300.0,75.0,17.0,112.5,17.0,8.0,8.0,45.0,45.0
MM,187.0,humanoid,generic,N,6.0,3,2300.0,97.5,20.0,97.5,23.0,9.0,9.0,35.0,35.0
MM,192.0,elemental,generic,N,6.0,3,2300.0,104.0,14.0,156.0,16.0,6.0,6.0,20.0,20.0
HotDQ,90.0,humanoid,unique,N,2.0,2,450.0,44.0,16.0,44.0,16.0,6.0,6.0,40.0,40.0
GGtR,211.0,monstrosity,generic,N,6.0,3,2300.0,136.0,15.0,136.0,15.0,7.0,7.0,34.0,34.0
MM,200.0,humanoid,generic,N,6.0,3,2300.0,97.5,13.0,97.5,13.0,6.0,6.0,70.666664,70.666664
GGtR,228.0,humanoid,generic,N,6.0,3,2300.0,84.5,15.0,84.5,20.0,6.0,6.0,11.0,11.0
MM,347.0,humanoid,generic,N,6.0,3,2300.0,40.5,15.0,40.5,20.0,6.0,6.0,98.0,98.0
MM,332.0,beast,generic,N,6.0,3,2300.0,126.5,13.0,126.5,13.0,10.0,10.0,37.333332,37.333332
MM,214.0,monstrosity,generic,N,6.0,3,2300.0,127.5,15.0,127.5,15.0,5.0,5.0,28.0,28.0
MOoT,206.0,monstrosity,generic,N,6.0,3,2300.0,127.5,15.0,127.5,19.0,5.0,9.0,30.0,30.0
PotA,208.0,humanoid,unique,N,9.0,4,5000.0,112.5,16.0,152.5,16.0,7.0,7.0,48.666668,48.666668
VGtM,149.0,giant,generic,N,6.0,3,2300.0,105.0,14.0,127.5,14.0,8.0,8.0,45.3,45.3
GGtR,202.0,giant,generic,N,6.0,3,2300.0,84.0,18.0,84.0,18.0,9.0,11.0,50.0,50.0
VRGtR,241.0,humanoid,generic,N,6.0,3,2300.0,60.0,14.0,91.0,16.0,7.0,7.0,44.0,44.0
VRGtR,241.0,undead,generic,N,6.0,3,2300.0,60.0,14.0,91.0,18.0,7.0,7.0,44.0,44.0
VRGtR,241.0,undead,generic,N,6.0,3,2300.0,60.0,14.0,91.0,16.0,7.0,7.0,44.0,44.0
VRGtR,241.0,undead,generic,N,6.0,3,2300.0,60.0,14.0,115.0,16.0,7.0,7.0,44.0,44.0
GoS,249.0,humanoid,generic,N,6.0,3,2300.0,97.5,20.0,97.5,20.0,6.0,10.0,36.0,36.0
WDH,200.0,humanoid,generic,N,6.0,3,2300.0,72.0,15.0,72.0,22.0,6.0,6.0,64.666664,64.666664
HotDQ,65.0,giant,generic,N,6.0,3,2300.0,84.0,15.0,114.0,15.0,7.0,7.0,58.0,58.0
GGtR,222.0,monstrosity,generic,N,6.0,3,2300.0,120.0,16.0,150.0,18.0,7.0,7.0,32.666668,32.666668
MOoT,215.0,monstrosity,generic,N,6.0,3,2300.0,104.5,16.0,104.5,16.0,7.0,8.0,56.0,56.0
MToF,172.0,fiend,unique,LL,22.0,7,41000.0,300.0,19.0,480.0,23.0,16.0,16.0,122.666664,122.666664
PotA,209.0,humanoid,unique,N,7.0,3,2900.0,102.0,15.0,102.0,17.0,7.0,8.0,56.333332,56.333332
MM,64.0,fiend,generic,N,6.0,3,2300.0,104.5,15.0,156.0,19.0,6.0,6.0,24.0,24.0
VGtM,220.0,humanoid,generic,N,6.0,3,2300.0,91.0,15.0,91.0,15.0,7.0,7.0,52.0,52.0
MM,101.0,dragon,generic,N,6.0,3,2300.0,133.0,17.0,133.0,19.0,7.0,7.0,54.666668,54.666668
GGtR,245.0,undead,unique,L,8.0,3,3900.0,110.0,14.0,235.5,14.0,8.0,8.0,54.0,54.0
MM,303.0,dragon,generic,N,6.0,3,2300.0,110.5,13.0,110.5,13.0,7.0,7.0,48.0,48.0
VRGtR,255.0,undead,generic,N,6.0,3,2300.0,104.5,12.0,151.5,13.0,8.0,8.0,42.666668,42.666668
MM,124.0,elemental,generic,N,5.0,3,1800.0,90.0,15.0,135.0,15.0,8.0,8.0,31.333334,31.333334
TftYP,103.0,beast,unique,N,8.0,3,3900.0,161.0,15.0,161.0,15.0,9.0,9.0,27.0,27.0
MToF,116.0,undead,generic,N,5.0,3,1800.0,40.5,13.0,80.0,15.0,6.0,6.0,42.0,42.0
VGtM,122.0,monstrosity,generic,N,5.0,3,1800.0,84.0,15.0,84.0,19.0,8.0,8.0,35.333332,35.333332
MM,56.0,fiend,generic,N,5.0,3,1800.0,68.0,15.0,102.0,15.0,7.0,7.0,29.0,29.0
GGtR,189.0,celestial,generic,N,5.0,3,1800.0,66.0,18.0,66.0,20.0,6.0,6.0,52.0,52.0
EGtW,284.0,humanoid,generic,N,5.0,3,1800.0,65.0,16.0,81.0,18.0,7.0,11.0,36.0,36.0
ERftLW,316.0,humanoid,generic,N,5.0,3,1800.0,84.5,20.0,84.5,20.0,7.0,7.0,40.0,40.0
VGtM,139.0,beast,generic,N,5.0,3,1800.0,121.5,15.0,121.5,15.0,8.0,8.0,32.0,32.0
MM,34.0,monstrosity,generic,N,5.0,3,1800.0,94.5,17.0,94.5,17.0,7.0,7.0,38.666668,38.666668
MM,36.0,fiend,generic,N,5.0,3,1800.0,82.5,19.0,123.8,21.0,7.0,7.0,24.0,24.0
VGtM,129.0,monstrosity,generic,N,5.0,3,1800.0,84.0,14.0,104.0,15.0,7.0,7.0,32.0,32.0
BGDiA,65.0,undead,unique,N,6.0,3,2300.0,136.0,11.0,249.0,11.0,7.0,7.0,22.0,22.0
IDRotF,284.0,undead,generic,N,5.0,3,1800.0,82.5,13.0,82.5,14.0,5.0,6.0,50.0,50.0
SKT,240.0,beast,generic,N,5.0,3,1800.0,76.0,17.0,76.0,17.0,7.0,7.0,40.0,40.0
MM,132.0,beast,generic,N,5.0,3,1800.0,85.5,14.0,85.5,14.0,8.0,8.0,39.0,39.0
FToD,172.0,dragon,generic,N,5.0,3,1800.0,95.0,15.0,105.0,17.0,6.0,6.0,39.0,39.0
BGDiA,233.0,humanoid,generic,N,5.0,3,1800.0,76.0,15.0,106.0,17.0,7.0,9.0,30.0,30.0
FToD,175.0,dragon,generic,N,5.0,3,1800.0,93.5,16.0,93.5,20.0,7.0,7.0,33.333332,33.333332
MM,70.0,fiend,generic,N,5.0,3,1800.0,110.5,15.0,165.0,19.0,6.0,6.0,22.0,22.0
FToD,188.0,humanoid,generic,N,5.0,3,1800.0,75.0,14.0,91.5,14.0,6.0,6.0,48.666668,48.666668
FToD,188.0,humanoid,generic,N,5.0,3,1800.0,75.0,14.0,75.0,14.0,4.0,4.0,56.0,56.0
FToD,182.0,ooze,generic,N,5.0,3,1800.0,68.0,14.0,102.0,14.0,7.0,7.0,54.0,54.0
RoT,89.0,humanoid,generic,N,5.0,3,1800.0,78.0,15.0,78.0,15.0,5.0,6.0,36.0,36.0
MM,128.0,humanoid,generic,N,5.0,3,1800.0,71.5,18.0,71.5,21.0,7.0,7.0,34.0,34.0
MM,124.0,elemental,generic,N,5.0,3,1800.0,126.0,17.0,189.0,17.0,8.0,8.0,28.0,28.0
FToD,193.0,monstrosity,generic,N,5.0,3,1800.0,52.0,16.0,88.0,20.0,8.0,8.0,35.0,35.0
VGtM,213.0,humanoid,generic,N,5.0,3,1800.0,40.5,15.0,70.5,15.0,6.0,6.0,67.333336,67.333336
GGtR,199.0,celestial,generic,N,5.0,3,1800.0,93.5,17.0,93.5,19.0,7.0,7.0,35.666668,35.666668
MM,125.0,elemental,generic,N,5.0,3,1800.0,102.0,13.0,153.0,13.0,8.0,8.0,35.0,35.0
MM,169.0,construct,generic,N,5.0,3,1800.0,93.5,9.0,187.0,11.0,7.0,7.0,26.0,26.0
GGtR,242.0,humanoid,generic,N,5.0,3,1800.0,55.0,15.0,55.0,15.0,8.0,8.0,63.0,63.0
IDRotF,288.0,humanoid,generic,N,5.0,3,1800.0,67.5,13.0,67.5,13.0,6.0,6.0,48.666668,48.666668
GGtR,243.0,humanoid,generic,N,5.0,3,1800.0,52.0,13.0,78.0,13.0,7.0,7.0,59.0,59.0
FToD,202.0,monstrosity,generic,N,5.0,3,1800.0,67.5,17.0,97.5,17.0,6.0,6.0,47.5,47.5
MOoT,222.0,undead,generic,N,5.0,3,1800.0,55.0,12.0,82.5,16.0,6.0,6.0,38.0,38.0
MM,399.0,humanoid,generic,N,5.0,3,1800.0,112.5,16.0,112.5,19.0,7.0,7.0,33.0,33.0
IDRotF,304.0,aberration,generic,N,5.0,3,1800.0,58.5,16.0,88.5,20.0,7.0,7.0,45.333332,45.333332
MOoT,221.0,construct,generic,N,5.0,3,1800.0,76.0,16.0,114.0,18.0,7.0,7.0,38.666668,38.666668
GGtR,236.0,humanoid,generic,N,5.0,3,1800.0,88.0,14.0,93.0,14.0,6.0,6.0,37.333332,37.333332
MM,171.0,monstrosity,generic,N,5.0,3,1800.0,114.0,19.0,114.0,19.0,8.0,8.0,23.333334,23.333334
TftYP,237.0,undead,generic,N,5.0,3,1800.0,97.5,15.0,111.0,15.0,7.0,7.0,28.0,28.0
MM,178.0,fiend,generic,N,5.0,3,1800.0,112.5,17.0,168.8,19.0,7.0,7.0,13.0,13.0
MM,180.0,humanoid,generic,N,5.0,3,1800.0,65.0,18.0,65.0,18.0,5.0,5.0,29.333334,29.333334
GoS,237.0,monstrosity,generic,N,5.0,3,1800.0,88.0,14.0,148.0,16.0,6.0,6.0,26.0,26.0
BGDiA,236.0,fiend,generic,N,5.0,3,1800.0,52.0,19.0,82.0,19.0,7.0,7.0,26.0,26.0
MM,155.0,giant,generic,N,5.0,3,1800.0,105.0,13.0,105.0,13.0,8.0,8.0,36.0,36.0
BGDiA,237.0,celestial,generic,N,5.0,3,1800.0,36.0,18.0,108.0,40.0,6.0,6.0,34.0,34.0
CM,165.0,humanoid,generic,N,5.0,3,1800.0,65.0,15.0,65.0,15.0,6.0,10.0,15.0,15.0
VGtM,215.0,humanoid,generic,N,5.0,3,1800.0,75.0,10.0,112.5,10.0,5.0,5.0,27.0,27.0
MToF,212.0,monstrosity,generic,N,5.0,3,1800.0,102.0,20.0,102.0,20.0,7.0,8.0,26.666666,26.666666
MOoT,232.0,humanoid,generic,N,5.0,3,1800.0,67.5,17.0,67.5,19.0,7.0,7.0,54.0,54.0
ERftLW,299.0,construct,generic,N,5.0,3,1800.0,57.0,15.0,85.5,17.0,7.0,7.0,46.666668,46.666668
VGtM,216.0,humanoid,generic,N,5.0,3,1800.0,84.5,16.0,105.0,17.0,7.0,7.0,35.0,35.0
MM,313.0,fiend,generic,N,5.0,3,1800.0,75.0,18.0,112.5,20.0,7.0,7.0,32.666668,32.666668
VRGtR,252.0,undead,generic,N,5.0,3,1800.0,85.0,15.0,85.0,17.0,7.0,7.0,38.0,38.0
GGtR,233.0,humanoid,generic,N,5.0,3,1800.0,49.5,15.0,49.5,15.0,8.0,8.0,55.333332,55.333332
VGtM,176.0,aberration,generic,N,5.0,3,1800.0,75.0,15.0,75.0,17.0,5.0,5.0,36.0,36.0
MToF,126.0,construct,generic,N,5.0,3,1800.0,58.5,16.0,116.0,18.0,7.0,7.0,31.333334,31.333334
MToF,218.0,ooze,generic,N,5.0,3,1800.0,75.0,14.0,75.0,14.0,7.0,7.0,30.0,30.0
IDRotF,176.0,humanoid,unique,N,2.0,2,450.0,59.5,9.0,119.0,9.0,5.0,5.0,13.0,13.0
MM,248.0,aberration,generic,N,5.0,3,1800.0,114.0,14.0,114.0,14.0,6.0,6.0,34.0,34.0
WDotMM,244.0,ooze,unique,N,8.0,3,3900.0,152.0,8.0,152.0,8.0,7.0,7.0,84.0,84.0
ERftLW,309.0,fiend,generic,N,5.0,3,1800.0,59.5,18.0,88.5,20.0,7.0,7.0,35.0,35.0
PotA,201.0,humanoid,generic,N,5.0,3,1800.0,142.5,17.0,142.5,17.0,6.0,6.0,47.0,47.0
MToF,149.0,fiend,unique,LL,24.0,7,62000.0,346.5,20.0,545.0,29.0,13.0,15.0,150.0,150.0
OotA,248.0,fiend,unique,LL,24.0,7,62000.0,378.0,20.0,585.0,29.0,13.0,15.0,170.0,170.0
MM,258.0,monstrosity,generic,N,5.0,3,1800.0,93.5,14.0,93.5,14.0,6.0,6.0,34.0,34.0
MM,259.0,undead,generic,N,5.0,3,1800.0,136.0,13.0,166.0,15.0,7.0,7.0,22.0,22.0
MM,261.0,monstrosity,generic,N,5.0,3,1800.0,93.5,20.0,153.0,20.0,7.0,11.0,22.0,22.0
CM,9.0,humanoid,generic,N,5.0,3,1800.0,54.0,13.0,54.0,18.0,6.0,6.0,56.0,56.0
MM,264.0,humanoid,generic,N,5.0,3,1800.0,76.5,16.0,76.5,18.0,7.0,11.0,35.0,35.0
GoS,251.0,humanoid,generic,N,5.0,3,1800.0,71.5,14.0,71.5,14.0,5.0,9.0,34.0,34.0
GoS,251.0,humanoid,generic,N,5.0,3,1800.0,60.5,14.0,60.5,14.0,4.0,8.0,46.0,46.0
MM,266.0,elemental,generic,N,5.0,3,1800.0,90.0,15.0,135.0,15.0,7.0,7.0,41.0,41.0
TftYP,242.0,monstrosity,generic,N,5.0,3,1800.0,90.0,15.0,90.0,15.0,6.0,7.0,36.0,36.0
TftYP,25.0,humanoid,unique,N,0.25,2,50.0,10.5,15.0,10.5,19.0,3.0,7.0,12.333333,12.333333
EGtW,299.0,undead,generic,N,5.0,3,1800.0,49.5,15.0,64.5,19.0,8.0,12.0,28.5,28.5
MM,270.0,plant,generic,N,5.0,3,1800.0,136.0,15.0,168.8,15.0,7.0,7.0,30.333334,30.333334
MM,135.0,beast,generic,N,5.0,3,1800.0,126.5,13.0,126.5,13.0,9.0,13.0,22.0,22.0
GoS,253.0,undead,generic,N,5.0,3,1800.0,142.5,13.0,142.5,15.0,6.0,6.0,36.0,36.0
CM,136.0,construct,generic,N,5.0,3,1800.0,85.0,18.0,115.0,18.0,6.0,6.0,27.0,27.0
GoS,254.0,aberration,generic,N,5.0,3,1800.0,93.5,14.0,93.5,14.0,7.0,7.0,32.0,32.0
OotA,232.0,humanoid,unique,N,2.0,2,450.0,33.0,18.0,33.0,18.0,4.0,4.0,44.0,44.0
MM,276.0,aberration,generic,N,5.0,3,1800.0,93.5,14.0,184.5,14.0,6.0,6.0,22.0,22.0
VGtM,192.0,undead,generic,N,5.0,3,1800.0,76.5,10.0,106.0,10.0,6.0,6.0,40.0,40.0
IDRotF,302.0,monstrosity,generic,N,5.0,3,1800.0,85.0,14.0,85.0,16.0,8.0,10.0,37.0,37.0
MToF,236.0,aberration,generic,N,5.0,3,1800.0,71.5,14.0,71.5,14.0,7.0,11.0,50.0,50.0
VGtM,133.0,beast,generic,N,5.0,3,1800.0,36.0,12.0,54.0,12.0,5.0,5.0,14.0,14.0
VGtM,186.0,fiend,generic,N,5.0,3,1800.0,95.0,14.0,95.0,16.0,7.0,7.0,39.0,39.0
VGtM,193.0,monstrosity,generic,N,5.0,3,1800.0,85.0,15.0,85.0,15.0,6.0,6.0,28.0,28.0
VGtM,218.0,humanoid,generic,N,5.0,3,1800.0,40.5,15.0,60.0,17.0,6.0,6.0,67.333336,67.333336
MM,80.0,beast,generic,N,5.0,3,1800.0,95.0,13.0,95.0,13.0,9.0,9.0,31.333334,31.333334
MM,291.0,giant,generic,N,5.0,3,1800.0,84.0,15.0,114.0,15.0,7.0,7.0,29.0,29.0
MM,292.0,monstrosity,generic,N,5.0,3,1800.0,93.5,18.0,93.5,22.0,8.0,12.0,32.0,32.0
CoS,227.0,construct,unique,N,1.0,2,200.0,22.5,5.0,22.5,5.0,4.0,4.0,10.5,10.5
MM,294.0,celestial,generic,N,5.0,3,1800.0,67.5,12.0,67.5,14.0,7.0,7.0,52.5,55.5
IDRotF,305.0,humanoid,unique,N,5.0,3,1800.0,76.5,13.0,106.5,13.0,8.0,8.0,33.0,33.0
TftYP,21.0,beast,unique,N,0.25,2,50.0,9.0,12.0,16.0,12.0,5.0,6.0,4.0,4.0
MM,298.0,undead,generic,N,5.0,3,1800.0,82.5,15.0,184.5,15.0,6.0,6.0,18.833334,18.833334
IDRotF,311.0,giant,generic,N,5.0,3,1800.0,119.0,14.0,119.0,16.0,7.0,7.0,34.0,34.0
MM,125.0,elemental,generic,N,5.0,3,1800.0,114.0,14.0,171.0,14.0,7.0,7.0,34.666668,34.666668
MM,208.0,humanoid,generic,N,5.0,3,1800.0,135.0,11.0,270.0,11.0,7.0,7.0,26.0,26.0
VGtM,198.0,plant,generic,N,5.0,3,1800.0,75.0,18.0,105.0,18.0,7.0,7.0,28.0,28.0
MM,302.0,undead,generic,N,5.0,3,1800.0,67.5,13.0,101.3,13.0,6.0,6.0,21.0,21.0
WDotMM,310.0,humanoid,unique,LL,23.0,7,50000.0,246.5,17.0,336.0,22.0,14.0,14.0,250.0,250.0
MM,304.0,elemental,generic,N,5.0,3,1800.0,73.5,19.0,109.5,19.0,6.0,6.0,31.0,31.0
VGtM,206.0,monstrosity,generic,N,5.0,3,1800.0,88.0,14.0,88.0,16.0,5.0,5.0,49.333332,49.333332
MM,316.0,undead,generic,N,5.0,3,1800.0,93.5,15.0,107.0,15.0,6.0,6.0,45.0,45.0
FToD,162.0,dragon,generic,N,4.0,2,1100.0,75.0,17.0,75.0,19.0,6.0,6.0,24.333334,24.333334
VGtM,136.0,fiend,generic,N,4.0,2,1100.0,82.5,16.0,206.0,16.0,6.0,6.0,16.0,16.0
MM,23.0,undead,generic,N,4.0,2,1100.0,58.5,12.0,145.0,14.0,4.0,4.0,21.333334,21.333334
VGtM,123.0,fiend,generic,N,4.0,2,1100.0,90.0,17.0,180.0,17.0,6.0,6.0,13.0,13.0
PotA,198.0,humanoid,unique,N,5.0,3,1800.0,78.0,16.0,88.0,18.0,7.0,7.0,36.0,36.0
MM,241.0,ooze,generic,N,4.0,2,1100.0,85.0,7.0,85.0,7.0,5.0,5.0,56.0,56.0
GGtR,207.0,elemental,generic,N,4.0,2,1100.0,45.5,13.0,91.0,13.0,5.0,5.0,35.0,35.0
PotA,196.0,humanoid,generic,N,4.0,2,1100.0,82.5,18.0,82.5,18.0,6.0,6.0,24.0,24.0
IDRotF,280.0,fiend,generic,N,4.0,2,1100.0,90.0,13.0,90.0,15.0,5.0,5.0,21.0,21.0
MM,40.0,aberration,generic,N,4.0,2,1100.0,93.5,16.0,93.5,16.0,6.0,6.0,22.0,22.0
GoS,236.0,beast,generic,N,4.0,2,1100.0,90.0,13.0,120.0,13.0,5.0,5.0,8.0,8.0
GGtR,242.0,humanoid,generic,N,4.0,2,1100.0,37.5,15.0,37.5,20.0,6.0,6.0,49.666668,49.666668
WDH,204.0,humanoid,unique,L,16.0,5,15000.0,137.5,22.0,249.0,26.0,12.0,12.0,72.666664,72.666664
MM,43.0,celestial,generic,N,4.0,2,1100.0,97.5,19.0,242.5,21.0,6.0,6.0,10.0,10.0
MToF,128.0,undead,generic,N,4.0,2,1100.0,36.0,15.0,72.0,15.0,5.0,5.0,22.333334,22.333334
FToD,177.0,monstrosity,generic,N,4.0,2,1100.0,57.0,16.0,57.0,16.0,6.0,8.0,41.5,41.5
FToD,192.0,dragon,generic,N,4.0,2,1100.0,90.0,18.0,90.0,20.0,5.0,5.0,19.333334,19.333334
WDH,201.0,humanoid,generic,N,4.0,2,1100.0,84.5,18.0,84.5,18.0,6.0,6.0,20.0,20.0
GoS,234.0,undead,generic,N,4.0,2,1100.0,67.5,14.0,74.5,18.0,5.0,9.0,28.0,28.0
MToF,132.0,fiend,generic,N,4.0,2,1100.0,37.5,14.0,74.0,16.0,6.0,6.0,13.0,13.0
MM,322.0,beast,generic,N,4.0,2,1100.0,76.0,12.0,76.0,12.0,8.0,8.0,28.333334,28.333334
MM,132.0,giant,generic,N,4.0,2,1100.0,85.0,12.0,85.0,12.0,7.0,7.0,28.0,28.0
MM,134.0,undead,generic,N,4.0,2,1100.0,40.5,13.0,80.0,20.0,5.0,5.0,32.666668,32.666668
MM,147.0,undead,generic,N,4.0,2,1100.0,45.0,11.0,180.0,13.0,5.0,5.0,17.0,17.0
TftYP,236.0,beast,generic,N,4.0,2,1100.0,66.5,14.0,66.5,14.0,7.0,7.0,39.333332,39.333332
VGtM,152.0,monstrosity,generic,N,4.0,2,1100.0,59.5,13.0,59.5,13.0,6.0,6.0,52.0,52.0
MM,163.0,fiend,generic,N,4.0,2,1100.0,65.0,14.0,65.0,16.0,5.0,5.0,29.0,29.0
MM,183.0,construct,generic,N,4.0,2,1100.0,60.0,20.0,120.0,22.0,6.0,6.0,16.0,16.0
VGtM,161.0,humanoid,generic,N,4.0,2,1100.0,45.5,13.0,45.5,13.0,5.0,5.0,65.0,65.0
