,monster,id,CR,feature,mean,variance,standard deviation,sigma/mean
713,Meenlock,17281-meenlock,2.0,Claws,7.0,2.5,1.5811388,0.22587697
714,Mindwitness,17286-mindwitness,5.0,Bite,16.0,11.666667,3.4156504,0.21347815
715,Mindwitness,17286-mindwitness,5.0,Tentacles,20.0,21.0,4.582576,0.22912878
717,Neogi Hatchling,17288-neogi-hatchling,0.125,Bite,10.5,7.0833335,2.6614532,0.25347173
718,Neogi,17289-neogi,3.0,Bite,20.5,14.583333,3.818813,0.18628356
719,Neogi,17289-neogi,3.0,Claws,8.0,2.5,1.5811388,0.19764236
721,Orc Blade of Ilneval,17293-orc-blade-of-ilneval,4.0,Longsword,14.0,16.5,4.0620193,0.29014423
722,Orc Blade of Ilneval,17293-orc-blade-of-ilneval,4.0,Javelin,6.5,2.9166667,1.7078252,0.26274234
723,Orc Nurtured One of Yurtrus,17296-orc-nurtured-one-of-yurtrus,0.5,Claws,7.0,2.5,1.5811388,0.22587697
724,Orc Red Fang of Shargaas,17297-orc-red-fang-of-shargaas,3.0,Scimitar,13.5,8.75,2.95804,0.21911407
725,Orc Red Fang of Shargaas,17297-orc-red-fang-of-shargaas,3.0,Dart,10.5,3.75,1.9364917,0.18442778
727,Tanarukk,17298-tanarukk,5.0,Bite,8.5,5.25,2.291288,0.2695633
728,Tanarukk,17298-tanarukk,5.0,Greatsword,11.0,5.8333335,2.4152296,0.21956632
730,Quickling,2556176-quickling,1.0,Dagger,8.5,1.25,1.118034,0.13153341
732,Redcap,2556141-redcap,3.0,Wicked Sickle,7.0,2.5,1.5811388,0.22587697
733,Redcap,2556141-redcap,3.0,Ironbound Pursuit,20.5,24.75,4.974937,0.24267986
735,Sea Spawn,17301-sea-spawn,1.0,Unarmed Strike,4.5,1.25,1.118034,0.248452
736,Shadow Mastiff,17302-shadow-mastiff,2.0,Bite,10.0,5.8333335,2.4152296,0.24152295
737,Slithering Tracker,17303-slithering-tracker,3.0,Slam,8.5,8.25,2.8722813,0.33791545
738,Spawn of Kyuss,17304-spawn-of-kyuss,5.0,Claw,13.5,8.75,2.95804,0.21911407
739,Tlincalli,17305-tlincalli,5.0,Longsword,8.5,8.25,2.8722813,0.33791545
740,Tlincalli,17305-tlincalli,5.0,Spiked Chain,6.5,2.9166667,1.7078252,0.26274234
741,Tlincalli,17305-tlincalli,5.0,Sting,20.5,14.583333,3.818813,0.18628356
743,Vargouille,17307-vargouille,1.0,Bite,16.0,11.666667,3.4156504,0.21347815
744,Vegepygmy,17308-vegepygmy,0.25,Claws,5.5,2.9166667,1.7078252,0.31051365
745,Vegepygmy,17308-vegepygmy,0.25,Sling,4.5,1.25,1.118034,0.248452
746,Thorny,17310-thorny,1.0,Bite,8.0,5.8333335,2.4152296,0.3019037
747,Vegepygmy Chief,17309-vegepygmy-chief,2.0,Claws,5.5,2.9166667,1.7078252,0.31051365
748,Vegepygmy Chief,17309-vegepygmy-chief,2.0,Spear,6.5,5.25,2.291288,0.35250583
749,Vegepygmy Chief,17309-vegepygmy-chief,2.0,Spores,18.0,21.0,4.582576,0.25458753
751,Wood Woad,17311-wood-woad,5.0,Club,14.0,5.0,2.236068,0.15971914
753,Xvart,17312-xvart,0.125,Shortsword,5.5,2.9166667,1.7078252,0.31051365
754,Xvart,17312-xvart,0.125,Sling,4.5,1.25,1.118034,0.248452
755,Yeth Hound,17314-yeth-hound,4.0,Bite,25.0,17.5,4.1833,0.16733201
756,Yuan-ti Broodguard,17316-yuan-ti-broodguard,2.0,Bite,6.5,5.25,2.291288,0.35250583
757,Yuan-ti Broodguard,17316-yuan-ti-broodguard,2.0,Claws,5.5,2.9166667,1.7078252,0.31051365
759,Aurochs,17320-aurochs,2.0,Gore,14.0,10.5,3.2403703,0.23145503
760,Cow,17321-cow,0.25,Gore,7.5,2.9166667,1.7078252,0.22771002
761,Dolphin,17322-dolphin,0.125,Slam,5.5,2.9166667,1.7078252,0.31051365
762,Swarm of Rot Grubs,17323-swarm-of-rot-grubs,0.5,Bites,6.0,0.0,0.0,0.0
763,Archer,17327-archer,3.0,Shortsword,7.5,2.9166667,1.7078252,0.22771002
764,Archer,17327-archer,3.0,Longbow,8.5,5.25,2.291288,0.2695633
766,Champion,17330-champion,9.0,Greatsword,19.0,11.666667,3.4156504,0.17977107
767,Champion,17330-champion,9.0,Shortbow,12.5,8.75,2.95804,0.2366432
769,Martial Arts Adept,17337-martial-arts-adept,3.0,Unarmed Strike,7.5,5.25,2.291288,0.30550504
770,Martial Arts Adept,17337-martial-arts-adept,3.0,Dart,5.5,1.25,1.118034,0.20327891
772,Master Thief,17338-master-thief,5.0,Shortsword,7.5,2.9166667,1.7078252,0.22771002
773,Master Thief,17338-master-thief,5.0,Light Crossbow,8.5,5.25,2.291288,0.2695633
775,Swashbuckler,17340-swashbuckler,3.0,Dagger,6.5,1.25,1.118034,0.17200524
776,Swashbuckler,17340-swashbuckler,3.0,Rapier,8.5,5.25,2.291288,0.2695633
778,Tortle,36902-tortle,0.25,Claws,4.5,1.25,1.118034,0.248452
779,Tortle,36902-tortle,0.25,Quarterstaff,6.5,5.25,2.291288,0.35250583
780,Tortle,36902-tortle,0.25,Light Crossbow,4.5,5.25,2.291288,0.50917506
781,Allip,93770-allip,5.0,Maddening Touch,17.0,11.666667,3.4156504,0.2009206
782,Boneclaw,93813-boneclaw,12.0,Piercing Claw,20.5,24.75,4.974937,0.24267986
784,Cadaver Collector,93826-cadaver-collector,14.0,Slam,35.0,40.5,6.363961,0.18182746
786,Choker,22369-choker,1.0,Tentacle,9.0,4.1666665,2.0412414,0.2268046
788,Bronze Scout,93832-bronze-scout,1.0,Bite,9.0,4.1666665,2.0412414,0.2268046
789,Iron Cobra,93842-iron-cobra,4.0,Bite,20.0,18.666666,4.3204937,0.2160247
790,Oaken Bolter,93849-oaken-bolter,5.0,Lancing Bolt,15.0,16.5,4.0620193,0.27080128
791,Oaken Bolter,93849-oaken-bolter,5.0,Harpoon,9.5,8.25,2.8722813,0.3023454
793,Stone Defender,93871-stone-defender,4.0,Slam,11.0,5.8333335,2.4152296,0.21956632
794,Corpse Flower,94136-corpse-flower,8.0,Tentacle,23.0,17.5,4.1833,0.18188262
796,Alkilith,94158-alkilith,11.0,Tentacle,18.0,11.666667,3.4156504,0.18975835
798,Armanite,94186-armanite,7.0,Hooves,12.0,5.8333335,2.4152296,0.20126912
799,Armanite,94186-armanite,7.0,Claws,10.0,2.5,1.5811388,0.15811388
800,Armanite,94186-armanite,7.0,Serrated Tail,16.0,16.5,4.0620193,0.2538762
802,Bulezau,94204-bulezau,3.0,Barbed Tail,8.5,11.916667,3.4520526,0.40612382
803,Maurezhi,94234-maurezhi,7.0,Bite,14.0,16.5,4.0620193,0.29014423
804,Maurezhi,94234-maurezhi,7.0,Claws,12.0,10.5,3.2403703,0.27003086
806,Nabassu,94266-nabassu,15.0,Claws,17.0,16.5,4.0620193,0.23894231
807,Nabassu,94266-nabassu,15.0,Bite,32.0,47.666668,6.904105,0.21575329
809,Rutterkin,94272-rutterkin,2.0,Bite,12.5,8.75,2.95804,0.2366432
810,Wastrilith,94518-wastrilith,13.0,Bite,30.0,47.666668,6.904105,0.23013684
811,Wastrilith,94518-wastrilith,13.0,Claws,18.0,11.666667,3.4156504,0.18975835
813,Derro,17378-derro,0.25,Hooked Spear,3.5,2.9166667,1.7078252,0.48795003
814,Derro,17378-derro,0.25,Light Crossbow,6.5,5.25,2.291288,0.35250583
815,Black Abishai,94536-black-abishai,7.0,Scimitar,6.5,2.9166667,1.7078252,0.26274234
816,Black Abishai,94536-black-abishai,7.0,Bite,17.5,18.75,4.3301272,0.24743582
818,Red Abishai,94605-red-abishai,19.0,Morningstar,10.5,5.25,2.291288,0.2182179
819,Red Abishai,94605-red-abishai,19.0,Claw,17.0,16.5,4.0620193,0.23894231
820,Red Abishai,94605-red-abishai,19.0,Bite,61.0,82.5,9.082951,0.14890084
821,White Abishai,94636-white-abishai,6.0,Longsword,8.5,8.25,2.8722813,0.33791545
822,White Abishai,94636-white-abishai,6.0,Claw,8.5,8.25,2.8722813,0.33791545
823,White Abishai,94636-white-abishai,6.0,Bite,9.0,4.1666665,2.0412414,0.2268046
825,Merregon,95021-merregon,4.0,Halberd,9.5,8.25,2.8722813,0.3023454
826,Merregon,95021-merregon,4.0,Heavy Crossbow,7.5,8.25,2.8722813,0.38297084
828,Narzugon,95077-narzugon,13.0,Hellfire Lance,28.0,36.666668,6.0553007,0.21626075
829,Nupperibo,95089-nupperibo,0.5,Bite,6.5,2.9166667,1.7078252,0.26274234
830,Orthon,95094-orthon,10.0,Infernal Dagger,33.0,35.5,5.9581876,0.18055114
831,Orthon,95094-orthon,10.0,Infernal Crossbow,31.5,31.083334,5.575243,0.17699184
832,Duergar Hammerer,96474-duergar-hammerer,2.0,Claw,6.5,2.9166667,1.7078252,0.26274234
833,Duergar Hammerer,96474-duergar-hammerer,2.0,Hammer,10.0,5.8333335,2.4152296,0.24152295
835,Duergar Kavalrachni,17384-duergar-kavalrachni,2.0,War Pick,11.5,7.75,2.7838821,0.24207671
836,Duergar Kavalrachni,17384-duergar-kavalrachni,2.0,Heavy Crossbow,5.5,8.25,2.8722813,0.52223295
838,Duergar Mind Master,96485-duergar-mind-master,2.0,Mind-Poison Dagger,30.0,21.666666,4.6547465,0.15515822
839,Duergar Screamer,96504-duergar-screamer,3.0,Drill,10.5,11.916667,3.4520526,0.3287669
840,Duergar Screamer,96504-duergar-screamer,3.0,Sonic Scream,14.0,11.666667,3.4156504,0.24397501
842,Duergar Stone Guard,17387-duergar-stone-guard,2.0,King's Knife,11.0,5.8333335,2.4152296,0.21956632
843,Duergar Stone Guard,17387-duergar-stone-guard,2.0,Javelin,11.0,5.8333335,2.4152296,0.21956632
844,Duergar Warlord,96520-duergar-warlord,6.0,Psychic-Attuned Hammer,20.5,24.75,4.974937,0.24267986
845,Duergar Warlord,96520-duergar-warlord,6.0,Javelin,11.0,5.8333335,2.4152296,0.21956632
846,Duergar Xarrorn,17388-duergar-xarrorn,2.0,Fire Lance,19.5,26.75,5.17204,0.26523283
847,Sacred Statue,96536-sacred-statue,,Slam,43.0,71.5,8.455768,0.19664575
848,Sacred Statue,96536-sacred-statue,,Rock,37.0,49.5,7.0356236,0.19015199
850,Summer Eladrin,96584-summer-eladrin,10.0,Longsword,19.5,21.75,4.6636896,0.23916356
851,Summer Eladrin,96584-summer-eladrin,10.0,Longbow,18.5,15.75,3.968627,0.21452038
852,Air Elemental Myrmidon,17457-air-elemental-myrmidon,7.0,Flail,8.5,5.25,2.291288,0.2695633
853,Air Elemental Myrmidon,17457-air-elemental-myrmidon,7.0,Lightning Strike,18.0,21.0,4.582576,0.25458753
855,Earth Elemental Myrmidon,17458-earth-elemental-myrmidon,7.0,Maul,11.0,5.8333335,2.4152296,0.21956632
856,Earth Elemental Myrmidon,17458-earth-elemental-myrmidon,7.0,Thunderous Strike,16.5,24.75,4.974937,0.30151135
858,Fire Elemental Myrmidon,17459-fire-elemental-myrmidon,7.0,Scimitar,7.5,2.9166667,1.7078252,0.22771002
859,Fire Elemental Myrmidon,17459-fire-elemental-myrmidon,7.0,Fiery Strikes,5.5,8.25,2.8722813,0.52223295
861,Water Elemental Myrmidon,17460-water-elemental-myrmidon,7.0,Trident,8.5,5.25,2.291288,0.2695633
862,Water Elemental Myrmidon,17460-water-elemental-myrmidon,7.0,Freezing Strikes,5.5,8.25,2.8722813,0.52223295
864,Giff,97378-giff,3.0,Longsword,9.5,8.25,2.8722813,0.3023454
865,Giff,97378-giff,3.0,Musket,8.5,11.916667,3.4520526,0.40612382
866,Giff,97378-giff,3.0,Pistol,7.5,8.25,2.8722813,0.38297084
868,Howler,97467-howler,8.0,Rending Bite,32.0,38.833332,6.23164,0.19473875
870,Young Kruthik,97338-young-kruthik,0.125,Stab,5.5,1.25,1.118034,0.20327891
871,Adult Kruthik,97345-adult-kruthik,2.0,Stab,6.5,2.9166667,1.7078252,0.26274234
872,Adult Kruthik,97345-adult-kruthik,2.0,Spike,5.5,1.25,1.118034,0.20327891
874,Kruthik Hive Lord,97356-kruthik-hive-lord,5.0,Stab,9.5,8.25,2.8722813,0.3023454
875,Kruthik Hive Lord,97356-kruthik-hive-lord,5.0,Spike,7.5,2.9166667,1.7078252,0.22771002
876,Kruthik Hive Lord,97356-kruthik-hive-lord,5.0,Acid Spray,44.0,66.0,8.124039,0.18463723
878,Meazel,97003-meazel,1.0,Garrote,16.5,8.75,2.95804,0.17927514
879,Meazel,97003-meazel,1.0,Shortsword,10.0,5.8333335,2.4152296,0.24152295
880,Nightwalker,96519-nightwalker,20.0,Enervating Focus,28.5,26.25,5.1234756,0.17977107
881,Oblex Spawn,96514-oblex-spawn,0.25,Pseudopod,8.0,2.5,1.5811388,0.19764236
882,Ogre Battering Ram,96493-ogre-battering-ram,4.0,Block the Path,16.5,24.75,4.974937,0.30151135
883,Ogre Howdah,96483-ogre-howdah,2.0,Mace,11.0,5.8333335,2.4152296,0.21956632
884,Frost Salamander,95451-frost-salamander,9.0,Claws,8.5,2.9166667,1.7078252,0.2009206
885,Frost Salamander,95451-frost-salamander,9.0,Bite,15.0,13.5,3.6742346,0.24494897
886,Frost Salamander,95451-frost-salamander,9.0,Freezing Breath,88.0,132.0,11.489125,0.13055824
888,Shadow Dancer,95441-shadow-dancer,7.0,Spiked Chain,10.0,5.8333335,2.4152296,0.24152295
890,Skulk,95328-skulk,0.5,Claws,6.5,1.25,1.118034,0.17200524
891,The Angry,95059-the-angry,13.0,Hook,16.0,23.833334,4.8819394,0.3051212
893,The Hungry,95289-the-hungry,11.0,Bite,22.0,21.0,4.582576,0.20829889
894,The Hungry,95289-the-hungry,11.0,Claws,18.0,11.666667,3.4156504,0.18975835
896,The Lonely,95291-the-lonely,9.0,Harpoon Arm,21.0,21.0,4.582576,0.2182179
897,The Lonely,95291-the-lonely,9.0,Sorrowful Embrace,18.0,21.0,4.582576,0.25458753
899,The Wretched,95303-the-wretched,0.25,Bite,13.0,16.5,4.0620193,0.31246302
900,Star Spawn Grue,94989-star-spawn-grue,0.25,Confounding Bite,6.0,2.5,1.5811388,0.26352313
901,Star Spawn Hulk,94993-star-spawn-hulk,10.0,Slam,14.0,10.5,3.2403703,0.23145503
902,Star Spawn Mangler,95006-star-spawn-mangler,5.0,Claw,8.5,5.25,2.291288,0.2695633
904,Star Spawn Seer,95011-star-spawn-seer,13.0,Comet Staff,28.5,26.25,5.1234756,0.17977107
905,Star Spawn Seer,95011-star-spawn-seer,13.0,Psychic Orb,27.5,41.25,6.4226165,0.23354968
907,Female Steeder,17401-female-steeder,1.0,Bite,16.5,15.75,3.968627,0.24052285
908,Male Steeder,17402-male-steeder,0.25,Bite,11.0,10.5,3.2403703,0.29457912
909,Stone Cursed,94620-stone-cursed,1.0,Petrifying Claws,14.0,16.5,4.0620193,0.29014423
910,Sword Wraith Commander,94600-sword-wraith-commander,8.0,Longsword,9.5,8.25,2.8722813,0.3023454
911,Sword Wraith Commander,94600-sword-wraith-commander,8.0,Longbow,6.5,5.25,2.291288,0.35250583
912,Sword Wraith Warrior,94613-sword-wraith-warrior,3.0,Longsword,9.5,8.25,2.8722813,0.3023454
913,Sword Wraith Warrior,94613-sword-wraith-warrior,3.0,Longbow,5.5,5.25,2.291288,0.41659778
914,Dire Troll,94218-dire-troll,13.0,Bite,16.0,13.5,3.6742346,0.22963966
915,Dire Troll,94218-dire-troll,13.0,Claws,16.5,8.75,2.95804,0.17927514
917,Rot Troll,94210-rot-troll,9.0,Bite,24.0,27.666666,5.259911,0.21916297
918,Rot Troll,94210-rot-troll,9.0,Claws,16.5,14.083333,3.7527769,0.22744101
920,Spirit Troll,94196-spirit-troll,11.0,Bite,19.5,24.75,4.974937,0.255125
921,Spirit Troll,94196-spirit-troll,11.0,Claws,14.0,16.5,4.0620193,0.29014423
923,Venom Troll,94193-venom-troll,7.0,Bite,12.0,8.166667,2.857738,0.23814483
924,Venom Troll,94193-venom-troll,7.0,Claws,15.5,11.083333,3.329164,0.21478477
926,Canoloth,93850-canoloth,8.0,Bite,25.0,17.5,4.1833,0.16733201
927,Canoloth,93850-canoloth,8.0,Claws,15.0,16.5,4.0620193,0.27080128
928,Canoloth,93850-canoloth,8.0,Tongue,17.0,23.833334,4.8819394,0.2871729
930,Clawfoot Raptor,132801-clawfoot-raptor,0.5,Claws,10.0,5.8333335,2.4152296,0.24152295
931,Clawfoot Raptor,132801-clawfoot-raptor,0.5,Bite,8.0,2.5,1.5811388,0.19764236
932,Goblin Gang Member,177241-goblin-gang-member,0.25,Dagger,5.5,1.25,1.118034,0.20327891
933,Goblin Gang Member,177241-goblin-gang-member,0.25,Light Crossbow,7.5,5.25,2.291288,0.30550504
934,Krenko,177244-krenko,1.0,Scimitar,8.0,4.1666665,2.0412414,0.25515518
935,Krenko,177244-krenko,1.0,Light Crossbow,6.5,5.25,2.291288,0.35250583
937,Loading Rig,177246-loading-rig,1.0,Slam,7.5,2.9166667,1.7078252,0.22771002
938,Battleforce Angel,174974-battleforce-angel,5.0,Longsword,26.5,29.25,5.408327,0.20408781
939,Felidar,175342-felidar,5.0,Bite,17.5,15.75,3.968627,0.22677869
940,Felidar,175342-felidar,5.0,Claws,14.5,8.75,2.95804,0.20400275
942,Bloodfray Giant,175355-bloodfray-giant,6.0,Chain,16.5,8.75,2.95804,0.17927514
943,Bloodfray Giant,175355-bloodfray-giant,6.0,Rock,16.5,8.75,2.95804,0.17927514
944,Guardian Giant,175359-guardian-giant,8.0,Spear,20.5,15.75,3.968627,0.19359156
946,Orzhov Giant,175944-orzhov-giant,6.0,Greataxe,25.5,35.75,5.9791303,0.2344757
947,Orzhov Giant,175944-orzhov-giant,6.0,Rock,28.0,33.0,5.7445626,0.20516296
949,Sunder Shaman,175950-sunder-shaman,10.0,Slam,24.0,21.0,4.582576,0.19094065
950,Sunder Shaman,175950-sunder-shaman,10.0,Rock,28.0,33.0,5.7445626,0.20516296
951,Flying Horror,175371-flying-horror,3.0,Claws,22.5,14.583333,3.818813,0.16972503
952,Shadow Horror,175346-shadow-horror,9.0,Bite,21.0,21.0,4.582576,0.2182179
953,Shadow Horror,175346-shadow-horror,9.0,Claw,13.5,8.75,2.95804,0.21911407
955,Skittering Horror,175398-skittering-horror,15.0,Bite,28.0,33.0,5.7445626,0.20516296
956,Skittering Horror,175398-skittering-horror,15.0,Claws,24.0,21.0,4.582576,0.19094065
958,Indentured Spirit,175561-indentured-spirit,1.0,Withering Touch,10.5,8.75,2.95804,0.28171808
959,Blistercoil Weird,175603-blistercoil-weird,4.0,Slam,28.5,22.75,4.769696,0.16735776
960,Fluxcharger,175709-fluxcharger,7.0,Slam,23.5,19.25,4.387482,0.18670137
961,Galvanice Weird,175704-galvanice-weird,1.0,Slam,10.5,5.4166665,2.3273733,0.22165461
962,Category 1 Krasis,175630-category-1-krasis,1.0,Bite,8.5,8.25,2.8722813,0.33791545
963,Category 1 Krasis,175630-category-1-krasis,1.0,Claws,7.5,5.25,2.291288,0.30550504
965,Category 2 Krasis,175636-category-2-krasis,6.0,Bite,17.0,23.833334,4.8819394,0.2871729
966,Category 2 Krasis,175636-category-2-krasis,6.0,Claws,17.0,23.833334,4.8819394,0.2871729
968,Category 3 Krasis,175643-category-3-krasis,16.0,Bite,27.0,17.5,4.1833,0.15493704
969,Category 3 Krasis,175643-category-3-krasis,16.0,Claws,22.5,24.75,4.974937,0.22110832
970,Category 3 Krasis,175643-category-3-krasis,16.0,Tail,33.0,31.5,5.612486,0.17007534
972,Kraul Warrior,175523-kraul-warrior,0.5,Spear,6.5,5.25,2.291288,0.35250583
973,Nightveil Specter,175405-nightveil-specter,10.0,Scythe,24.5,21.583334,4.645787,0.18962394
974,Nightveil Specter,175405-nightveil-specter,10.0,Mind Twist,45.0,52.5,7.2456884,0.1610153
976,Gloamwing,175397-gloamwing,8.0,Bite,18.5,15.75,3.968627,0.21452038
977,Gloamwing,175397-gloamwing,8.0,Claws,15.5,8.75,2.95804,0.19084129
979,Nivix Cyclops,175392-nivix-cyclops,8.0,Slam,23.5,24.75,4.974937,0.21169946
981,Hybrid Brute,175386-hybrid-brute,2.0,Claw,7.5,2.9166667,1.7078252,0.22771002
983,Hybrid Poisoner,175384-hybrid-poisoner,1.0,Toxic Touch,10.5,8.75,2.95804,0.28171808
984,Hybrid Shocker,175380-hybrid-shocker,1.0,Shocking Touch,9.0,10.5,3.2403703,0.36004114
985,Hybrid Spy,175374-hybrid-spy,0.5,Shortsword,6.5,2.9166667,1.7078252,0.26274234
987,Skyjek Roc,175365-skyjek-roc,2.0,Beak,9.5,5.25,2.291288,0.2411882
988,Skyjek Roc,175365-skyjek-roc,2.0,Talons,10.0,2.5,1.5811388,0.15811388
990,Skyswimmer,175360-skyswimmer,13.0,Bite,43.5,42.25,6.5,0.14942528
991,Skyswimmer,175360-skyswimmer,13.0,Slam,19.0,23.833334,4.8819394,0.25694418
993,Wurm,175314-wurm,14.0,Bite,42.0,29.166666,5.400617,0.12858613
994,Soldier,175769-soldier,0.5,Longsword,7.5,8.25,2.8722813,0.38297084
995,Anarch,175893-anarch,0.25,Spiked Club,7.5,8.25,2.8722813,0.38297084
996,Rubblebelt Stalker,175906-rubblebelt-stalker,0.5,Shortsword,5.5,2.9166667,1.7078252,0.31051365
998,Scorchbringer Guard,176757-scorchbringer-guard,0.5,Light Hammer,4.5,1.25,1.118034,0.248452
999,Scorchbringer Guard,176757-scorchbringer-guard,0.5,Scorchbringer,14.0,11.666667,3.4156504,0.24397501
1000,Viari,359321-viari,5.0,+1 Shortsword,9.5,2.9166667,1.7078252,0.17977107
1001,Viari,359321-viari,5.0,Rapier,9.5,5.25,2.291288,0.2411882
1002,Viari,359321-viari,5.0,Dagger,7.5,1.25,1.118034,0.1490712
1004,Oak Truestrike,359869-oak-truestrike,2.0,Hooked Dagger,5.5,1.25,1.118034,0.20327891
1005,Oak Truestrike,359869-oak-truestrike,2.0,Hand Crossbow,6.5,2.9166667,1.7078252,0.26274234
1007,Portentia Dran,359976-portentia-dran,3.0,Shortsword,7.5,2.9166667,1.7078252,0.22771002
1008,Chaos Quadrapod,359993-chaos-quadrapod,4.0,Tentacle,11.0,5.8333335,2.4152296,0.21956632
1010,Keg Robot,360024-keg-robot,2.0,Fist,7.5,5.25,2.291288,0.30550504
1011,Keg Robot,360024-keg-robot,2.0,Acid Squirt,7.5,5.25,2.291288,0.30550504
1012,Splugoth the Returned,360031-splugoth-the-returned,2.0,Dagger,4.5,1.25,1.118034,0.248452
1014,Clawfoot,561380-clawfoot,1.0,Bite,7.5,5.25,2.291288,0.30550504
1015,Clawfoot,561380-clawfoot,1.0,Claws,7.5,5.25,2.291288,0.30550504
1017,Fastieth,487586-fastieth,0.25,Bite,8.5,5.25,2.291288,0.2695633
1018,Dolgaunt,487575-dolgaunt,3.0,Tentacle,7.5,2.9166667,1.7078252,0.22771002
1019,Dolgaunt,487575-dolgaunt,3.0,Unarmed Strike,6.5,1.25,1.118034,0.17200524
1021,Dolgrim,487585-dolgrim,0.5,Morningstar,6.5,5.25,2.291288,0.35250583
1022,Dolgrim,487585-dolgrim,0.5,Spear,6.5,5.25,2.291288,0.35250583
1023,Dolgrim,487585-dolgrim,0.5,Hand Crossbow,5.5,2.9166667,1.7078252,0.31051365
1024,Expeditious Messenger,487593-expeditious-messenger,0.125,Bite,5.5,1.25,1.118034,0.20327891
1025,Iron Defender,561453-iron-defender,1.0,Bite,6.5,2.9166667,1.7078252,0.26274234
1026,Karrnathi Undead Soldier,487601-karrnathi-undead-soldier,3.0,Longsword,8.5,8.25,2.8722813,0.33791545
1027,Karrnathi Undead Soldier,487601-karrnathi-undead-soldier,3.0,Longbow,6.5,5.25,2.291288,0.35250583
1028,Undying Soldier,487658-undying-soldier,2.0,Spear,16.5,15.75,3.968627,0.24052285
1030,Warforged Colossus,486330-warforged-colossus,25.0,Eldritch Turret,18.0,21.0,4.582576,0.25458753
1031,Warforged Colossus,486330-warforged-colossus,25.0,Incinerating Beam,121.0,181.5,13.472194,0.11134044
1032,Warforged Titan,486238-warforged-titan,8.0,Axehand,30.5,32.25,5.6789083,0.18619372
1033,Warforged Titan,486238-warforged-titan,8.0,Hammerfist,19.5,15.75,3.968627,0.20351933
1035,Changeling,487539-changeling,0.5,Dagger,4.5,1.25,1.118034,0.248452
1037,Kalashtar,487557-kalashtar,0.25,Dagger,4.5,1.25,1.118034,0.248452
1038,Shifter,489478-shifter,0.5,Shortsword,6.5,2.9166667,1.7078252,0.26274234
1039,Shifter,489478-shifter,0.5,Bite,5.5,1.25,1.118034,0.20327891
1040,Warforged Soldier,546111-warforged-soldier,1.0,Armblade,6.5,2.9166667,1.7078252,0.26274234
1041,Warforged Soldier,546111-warforged-soldier,1.0,Javelin,6.5,2.9166667,1.7078252,0.26274234
1043,Assassin Bug,588524-assassin-bug,3.0,Bite,7.5,8.25,2.8722813,0.38297084
1044,Assassin Bug,588524-assassin-bug,3.0,Ovipositor,6.0,0.0,0.0,0.0
1046,Blindheim,588546-blindheim,2.0,Bite,5.5,2.9166667,1.7078252,0.31051365
1047,Blindheim,588546-blindheim,2.0,Radiant Blast,14.0,11.666667,3.4156504,0.24397501
1048,crab folk,588563-crab-folk,3.0,Claw,7.5,2.9166667,1.7078252,0.22771002
1050,dire corby,588585-dire-corby,0.5,Claw,6.5,5.25,2.291288,0.35250583
1052,fog giant,588647-fog-giant,11.0,Greatsword,29.0,17.5,4.1833,0.14425173
1053,fog giant,588647-fog-giant,11.0,Rock,30.0,33.0,5.7445626,0.19148542
1054,jermlaine,588939-jermlaine,0.125,Dart,3.5,1.25,1.118034,0.31943828
1055,khargra,588950-khargra,0.125,Bite,3.5,1.25,1.118034,0.31943828
1056,killmoulis,588967-killmoulis,0.0,Slam,1.0,0.0,0.0,0.0
1057,mite,588989-mite,0.25,Dagger,4.5,1.25,1.118034,0.248452
1058,needle spawn,589001-needle-spawn,0.5,Claw,6.5,2.9166667,1.7078252,0.26274234
1059,needle spawn,589001-needle-spawn,0.5,Needle,5.5,1.25,1.118034,0.20327891
1060,needle lord,589010-needle-lord,3.0,Raking Vine,22.0,5.8333335,2.4152296,0.10978316
1061,needle lord,589010-needle-lord,3.0,Needle,2.5,1.25,1.118034,0.4472136
1063,norker,589016-norker,0.5,Bite,4.5,2.9166667,1.7078252,0.3795167
1064,norker,589016-norker,0.5,Mace,4.5,2.9166667,1.7078252,0.3795167
1066,norker war leader,589025-norker-war-leader,3.0,Bite,6.5,2.9166667,1.7078252,0.26274234
1067,norker war leader,589025-norker-war-leader,3.0,Greataxe,9.5,11.916667,3.4520526,0.36337397
1068,screaming devilkin,589036-screaming-devilkin,1.0,Barbed Tail,5.5,1.25,1.118034,0.20327891
1069,xill,589081-xill,3.0,Claw,6.5,1.25,1.118034,0.17200524
1071,Sken Zabriss,744336-sken-zabriss,1.0,Longsword,8.5,8.25,2.8722813,0.33791545
1072,Kobold Underling,744321-kobold-underling,0.125,Shortsword,6.5,2.9166667,1.7078252,0.26274234
1073,Kobold Underling,744321-kobold-underling,0.125,Hand Crossbow,6.5,2.9166667,1.7078252,0.26274234
1074,Yinra Emberwind,744343-yinra-emberwind,0.5,Shortsword,6.5,2.9166667,1.7078252,0.26274234
1075,Yinra Emberwind,744343-yinra-emberwind,0.5,Longbow,7.5,5.25,2.291288,0.30550504
1076,Vox Seeker,745162-vox-seeker,0.125,Pincer,5.5,1.25,1.118034,0.20327891
1077,Guardian Wolf,745189-guardian-wolf,4.0,Bite,11.5,8.25,2.8722813,0.2497636
1078,Guardian Wolf,745189-guardian-wolf,4.0,Claws,15.0,10.5,3.2403703,0.2160247
