Monster,Book,Page,Type,Category,Legendary,CR,PB,XP,HP,AC,adj HP,adj AC,AB,adj AB,DPR,adj DPR
Kruthik Hive Lord,MToF,212.0,monstrosity,legacy,N,5.0,3,1800.0,102.0,20.0,102.0,20.0,7.0,8.0,27.333334,27.333334
"Kruthik, Adult",MPMotM,169.0,monstrosity,generic,N,2.0,2,450.0,39.0,18.0,39.0,18.0,5.0,6.0,13.0,13.0
"Kruthik, Adult",MToF,212.0,monstrosity,legacy,N,2.0,2,450.0,39.0,18.0,39.0,18.0,5.0,6.0,13.0,13.0
"Kruthik, Young",MPMotM,168.0,monstrosity,generic,N,0.125,2,25.0,9.0,16.0,9.0,16.0,5.0,6.0,5.5,5.5
"Kruthik, Young",MToF,211.0,monstrosity,legacy,N,0.125,2,25.0,9.0,16.0,9.0,16.0,5.0,6.0,5.5,5.5
Kuo-toa,MM,199.0,humanoid,generic,N,0.25,2,50.0,18.0,13.0,18.0,13.0,3.0,3.0,4.5,4.5
Kuo-toa Archpriest,MM,200.0,humanoid,generic,N,6.0,3,2300.0,97.5,13.0,97.5,13.0,6.0,6.0,70.666664,70.666664
Kuo-toa Monitor,MM,198.0,humanoid,generic,N,3.0,2,700.0,65.0,13.0,65.0,13.0,6.0,6.0,21.0,21.0
Kuo-toa Whip,MM,200.0,humanoid,generic,N,1.0,2,200.0,65.0,11.0,65.0,11.0,4.0,4.0,9.0,9.0
Kysh,GoS,240.0,humanoid,unique,N,1.0,2,200.0,27.5,13.0,27.5,13.0,4.0,4.0,12.0,12.0
Lady Illmarrow,ERftLW,297.0,undead,unique,L,22.0,7,41000.0,199.5,19.0,361.3,23.0,15.0,15.0,204.0,204.0
Laeral Silverhand,WDH,207.0,humanoid,unique,N,17.0,6,18000.0,228.0,18.0,228.0,25.0,13.0,13.0,89.333336,89.333336
Lamia,MM,201.0,monstrosity,generic,N,4.0,2,1100.0,97.5,13.0,97.5,13.0,5.0,5.0,19.0,19.0
Lampad,MOoT,235.0,fey,generic,N,3.0,2,700.0,52.0,15.0,52.0,17.0,6.0,6.0,18.0,18.0
Langdedrosa Cyanwrath,HotDQ,91.0,humanoid,unique,N,4.0,2,1100.0,57.0,17.0,57.0,17.0,6.0,7.0,36.666668,36.666668
Lantern Archon,PAitM:MPP,17.0,celestial,generic,N,2.0,2,450.0,22.5,13.0,45.0,14.0,5.0,5.0,13.0,13.0
Lava Child,WDotMM,313.0,humanoid,generic,N,3.0,2,700.0,60.0,11.0,120.0,11.0,6.0,6.0,18.0,18.0
Lawmage,GGtR,228.0,humanoid,generic,N,6.0,3,2300.0,84.5,15.0,84.5,20.0,6.0,6.0,11.0,11.0
Lazav,GGtR,232.0,monstrosity,unique,L,17.0,6,18000.0,204.0,18.0,294.0,20.0,13.0,13.0,120.0,120.0
Leonin Iconoclast,MOoT,232.0,humanoid,generic,N,5.0,3,1800.0,67.5,17.0,67.5,19.0,7.0,7.0,54.0,54.0
Leprechaun,QftIS,205.0,fey,generic,N,4.0,2,1100.0,52.0,13.0,52.0,17.0,5.0,9.0,40.0,40.0
Lesser Death Dragon,DSotDQ,195.0,undead,generic,N,10.0,4,5900.0,199.5,15.0,199.5,15.0,9.0,11.0,47.666668,47.666668
Leucrotta,MPMotM,170.0,monstrosity,generic,N,3.0,2,700.0,67.5,14.0,67.5,15.0,6.0,6.0,19.5,19.5
Leucrotta,TftYP,239.0,monstrosity,legacy,N,3.0,2,700.0,67.5,14.0,67.5,14.0,6.0,6.0,19.5,19.5
Leucrotta,VGtM,169.0,monstrosity,legacy,N,3.0,2,700.0,67.5,14.0,67.5,14.0,6.0,6.0,19.5,25.0
Leviathan,MPMotM,171.0,elemental,legendary,L,20.0,6,25000.0,328.0,17.0,418.0,17.0,14.0,14.0,106.666664,106.666664
Leviathan,MToF,198.0,elemental,legacy,L,20.0,6,25000.0,328.0,17.0,418.0,17.0,16.0,16.0,82.666664,109.666664
Liara Portyr,ToA,227.0,humanoid,unique,N,4.0,2,1100.0,84.5,15.0,84.5,15.0,5.0,5.0,31.0,31.0
Lich,MM,202.0,undead,generic,N,21.0,7,33000.0,135.0,17.0,281.3,24.0,12.0,12.0,145.0,145.0
"Lich, Devkarin",GGtR,198.0,undead,legendary,L,14.0,5,11500.0,97.5,14.0,260.6,16.0,9.0,9.0,96.333336,96.333336
"Lich, Lichen",CM,223.0,undead,legendary,LL,18.0,6,20000.0,225.0,20.0,315.0,22.0,9.0,9.0,122.5,122.5
Light Devourer,CRCotN,200.0,aberration,generic,N,6.0,3,2300.0,119.0,14.0,119.0,14.0,7.0,7.0,59.333332,59.333332
Lightning Hulk,BPGotG,158.0,elemental,generic,N,9.0,4,5000.0,102.0,15.0,153.0,17.0,9.0,9.0,50.0,57.0
Lion,MM,331.0,beast,generic,N,1.0,2,200.0,26.0,12.0,26.0,12.0,5.0,6.0,9.666667,9.666667
Liondrake,FToD,207.0,monstrosity,generic,N,7.0,3,2900.0,119.0,16.0,238.0,16.0,7.0,8.0,24.666666,24.666666
Living Bigby's Hand,IDRotF,298.0,construct,generic,N,4.0,2,1100.0,52.5,20.0,52.5,22.0,10.0,10.0,26.0,26.0
Living Blade of Disaster,IDRotF,299.0,construct,generic,N,8.0,3,3900.0,67.5,14.0,135.0,16.0,6.0,11.0,52.0,52.0
Living Burning Hands,ERftLW,298.0,construct,generic,N,1.0,2,200.0,15.0,15.0,30.0,17.0,5.0,5.0,10.0,10.0
Living Cloudkill,ERftLW,299.0,construct,generic,N,7.0,3,2900.0,73.5,15.0,109.5,17.0,8.0,8.0,58.666668,58.666668
Living Doll,TWBtW,238.0,construct,generic,N,2.0,2,450.0,28.0,11.0,55.0,13.0,2.0,2.0,17.666666,17.666666
Living Iron Statue,GoS,241.0,construct,unique,N,5.0,3,1800.0,102.0,16.0,102.0,16.0,6.0,6.0,26.0,26.0
Living Lightning Bolt,ERftLW,299.0,construct,generic,N,5.0,3,1800.0,57.0,15.0,85.5,17.0,7.0,7.0,46.666668,46.666668
Living Portent,TBoMT,180.0,celestial,generic,N,3.0,2,700.0,65.0,15.0,65.0,15.0,5.0,5.0,29.5,29.5
Lizardfolk,MM,204.0,humanoid,generic,N,0.5,2,100.0,22.0,15.0,22.0,15.0,4.0,4.0,10.0,10.0
Lizardfolk Commoner,GoS,241.0,humanoid,generic,N,0.25,2,50.0,16.5,13.0,16.5,13.0,4.0,4.0,5.0,5.0
Lizardfolk King/Queen,MM,205.0,humanoid,generic,N,4.0,2,1100.0,78.0,15.0,108.0,15.0,5.0,5.0,24.0,24.0
Lizardfolk Render,GoS,241.0,humanoid,generic,N,3.0,2,700.0,52.5,15.0,52.5,15.0,5.0,9.0,21.333334,21.333334
Lizardfolk Scaleshield,GoS,242.0,humanoid,generic,N,1.0,2,200.0,32.5,16.0,47.5,16.0,4.0,4.0,11.0,11.0
Lizardfolk Shaman,MM,205.0,humanoid,generic,N,2.0,2,450.0,27.5,13.0,27.5,13.0,4.0,4.0,20.166666,20.166666
Lizardfolk Subchief,GoS,242.0,humanoid,generic,N,3.0,2,700.0,52.0,14.0,52.0,14.0,5.0,5.0,21.333334,21.333334
Loading Rig,GGtR,170.0,construct,generic,N,1.0,2,200.0,39.0,18.0,39.0,18.0,6.0,6.0,7.0,7.0
Locathah,GoS,243.0,humanoid,generic,N,0.5,2,100.0,22.0,13.0,22.0,13.0,3.0,3.0,10.0,10.0
Locathah Hunter,GoS,243.0,humanoid,generic,N,2.0,2,450.0,33.0,14.0,33.0,16.0,4.0,4.0,22.0,22.0
Lohezet,DSotDQ,205.0,humanoid,unique,N,12.0,4,8400.0,137.5,15.0,137.5,15.0,9.0,9.0,96.0,122.0
Lonely Sorrowsworn,MPMotM,223.0,monstrosity,generic,N,9.0,4,5000.0,112.5,16.0,168.8,16.0,7.0,11.0,51.0,61.5
Lonely Sorrowsworn,MToF,232.0,monstrosity,legacy,N,9.0,4,5000.0,112.5,16.0,168.8,16.0,7.0,11.0,51.0,61.5
Lord Soth,DSotDQ,206.0,undead,unique,L,19.0,6,22000.0,228.0,18.0,318.0,22.0,12.0,12.0,127.5,161.5
Lorehold Apprentice,SACoC,197.0,humanoid,generic,N,2.0,2,450.0,33.0,15.0,33.0,15.0,4.0,4.0,22.0,22.0
Lorehold Pledgemage,SACoC,197.0,humanoid,generic,N,4.0,2,1100.0,60.5,16.0,74.5,16.0,5.0,5.0,38.0,41.333332
Lorehold Professor of Chaos,SACoC,198.0,humanoid,generic,N,7.0,3,2900.0,110.5,15.0,110.5,19.0,7.0,9.0,39.0,39.0
Lorehold Professor of Order,SACoC,198.0,humanoid,generic,N,7.0,3,2900.0,104.0,15.0,134.0,19.0,7.0,9.0,26.0,26.0
Lost Sorrowsworn,MPMotM,224.0,monstrosity,generic,N,7.0,3,2900.0,78.0,15.0,117.0,15.0,6.0,6.0,45.0,72.0
Lost Sorrowsworn,MToF,233.0,monstrosity,legacy,N,7.0,3,2900.0,78.0,15.0,117.0,15.0,6.0,6.0,45.0,72.0
Loup Garou,VRGtR,237.0,monstrosity,legendary,L,13.0,5,10000.0,170.0,16.0,260.0,18.0,9.0,13.0,75.0,75.0
Lunar Dragon Wyrmling,SAiS:BAM,35.0,dragon,generic,N,2.0,2,450.0,37.5,15.0,75.0,15.0,4.0,4.0,15.0,15.0
Madam Eva,CoS,233.0,humanoid,unique,N,10.0,4,5900.0,88.0,10.0,176.0,10.0,9.0,9.0,98.333336,98.333336
Maddgoths Homunculus,WDotMM,96.0,construct,unique,N,2.0,2,450.0,55.0,13.0,55.0,13.0,4.0,4.0,9.0,9.0
Maegera the Dawn Titan,SKT,241.0,elemental,legendary,L,23.0,7,50000.0,341.0,16.0,341.0,20.0,12.0,12.0,324.5,324.5
Maelephant,PAitM:MPP,35.0,fiend,generic,N,10.0,4,5900.0,161.5,15.0,242.3,17.0,8.0,10.0,63.333332,63.333332
Mage,MM,347.0,humanoid,generic,N,6.0,3,2300.0,40.5,15.0,40.5,20.0,6.0,6.0,65.333336,65.333336
Mage Hunter,SACoC,199.0,monstrosity,generic,N,5.0,3,1800.0,85.0,15.0,106.0,17.0,7.0,7.0,30.0,37.0
Mage of Usamigaras,QftIS,206.0,humanoid,generic,N,0.125,2,25.0,9.0,11.0,9.0,11.0,4.0,4.0,7.5,7.5
"Magen, Demos",IDRotF,300.0,construct,generic,N,2.0,2,450.0,51.0,16.0,51.0,18.0,4.0,4.0,18.0,18.0
"Magen, Hypnos",IDRotF,301.0,construct,generic,N,1.0,2,200.0,34.0,12.0,34.0,14.0,4.0,4.0,11.0,11.0
Maggie Keeneyes (tier 1),CRCotN,189.0,giant,unique,N,3.0,2,700.0,85.0,13.0,85.0,13.0,6.0,6.0,13.0,13.0
Maggie Keeneyes (tier 2),CRCotN,191.0,giant,unique,N,5.0,3,1800.0,114.0,15.0,129.0,15.0,7.0,7.0,26.0,26.0
Maggie Keeneyes (tier 3),CRCotN,194.0,giant,unique,N,8.0,3,3900.0,142.5,18.0,172.5,18.0,8.0,8.0,32.0,32.0
Magmin,MM,212.0,elemental,generic,N,0.5,2,100.0,9.0,14.0,18.0,14.0,4.0,4.0,15.333333,15.333333
Mahadi the Rakshasa,BGDiA,127.0,fiend,unique,N,14.0,5,11500.0,195.5,17.0,293.3,19.0,7.0,7.0,47.0,47.0
Malaxxix,TBoMT,173.0,fiend,unique,L,18.0,6,20000.0,312.5,17.0,402.5,19.0,12.0,12.0,94.166664,94.166664
Malaxxix,TBoMT,173.0,fiend,unique,LL,19.0,6,22000.0,312.5,17.0,422.0,19.0,12.0,12.0,108.833336,108.833336
Malformed Kraken,TftYP,239.0,monstrosity,unique,N,10.0,4,5900.0,172.5,17.0,258.8,21.0,11.0,11.0,42.0,42.0
Mammoth,MM,332.0,beast,generic,N,6.0,3,2300.0,126.5,13.0,126.5,13.0,10.0,10.0,37.333332,37.333332
Manes,MM,60.0,fiend,generic,N,0.125,2,25.0,9.0,9.0,9.0,9.0,2.0,2.0,5.0,5.0
Manshoon,WDH,209.0,humanoid,unique,N,13.0,5,10000.0,126.5,19.0,126.5,26.0,15.0,15.0,90.666664,90.666664
Manshoon Simulacrum,WDH,208.0,humanoid,unique,N,8.0,3,3900.0,126.5,12.0,126.5,17.0,11.0,11.0,70.0,70.0
Manticore,MM,213.0,monstrosity,generic,N,3.0,2,700.0,68.0,14.0,68.0,16.0,5.0,5.0,21.0,21.0
Mantrap,ToA,227.0,plant,generic,N,1.0,2,200.0,45.5,12.0,45.5,12.0,5.0,5.0,14.0,14.0
Marilith,MM,61.0,fiend,generic,N,16.0,5,15000.0,189.0,18.0,236.3,25.0,9.0,9.0,93.0,93.0
Markos Delphi,KftGV,53.0,humanoid,unique,N,3.0,2,700.0,44.0,15.0,44.0,15.0,5.0,5.0,20.0,20.0
Marlos Urnrayle,PotA,199.0,monstrosity,unique,N,8.0,3,3900.0,136.0,15.0,176.0,19.0,8.0,12.0,47.0,47.0
Martial Arts Adept,MPMotM,172.0,humanoid,generic,N,3.0,2,700.0,60.5,16.0,75.5,16.0,5.0,5.0,27.5,27.5
Martial Arts Adept,VGtM,216.0,humanoid,legacy,N,3.0,2,700.0,60.5,16.0,90.5,16.0,5.0,5.0,22.5,22.5
Marut,MPMotM,173.0,construct,generic,N,25.0,8,75000.0,432.0,22.0,582.0,26.0,20.0,20.0,125.0,125.0
Marut,MToF,213.0,construct,legacy,N,25.0,8,75000.0,432.0,22.0,582.0,26.0,20.0,20.0,125.0,125.0
Maschin-i-Bozorg,QftIS,207.0,construct,generic,N,8.0,3,3900.0,94.5,17.0,94.5,19.0,6.0,6.0,26.0,28.333334
Master of Souls,BGDiA,234.0,humanoid,generic,N,4.0,2,1100.0,45.0,12.0,45.0,17.0,6.0,6.0,49.333332,49.333332
Master Thief,MPMotM,174.0,humanoid,generic,N,5.0,3,1800.0,84.5,16.0,99.5,21.0,7.0,7.0,33.0,33.0
Master Thief,VGtM,216.0,humanoid,legacy,N,5.0,3,1800.0,84.5,16.0,99.5,21.0,7.0,7.0,22.5,36.5
Maurezhi,MPMotM,175.0,fiend,generic,N,7.0,3,2900.0,88.0,15.0,177.0,17.0,6.0,8.0,26.0,26.0
Maurezhi,MToF,133.0,fiend,legacy,N,7.0,3,2900.0,88.0,15.0,177.0,17.0,6.0,8.0,26.0,26.0
Maw Demon,MPMotM,176.0,fiend,generic,N,1.0,2,200.0,33.0,13.0,49.5,13.0,4.0,4.0,14.666667,14.666667
Maw Demon,VGtM,137.0,fiend,legacy,N,1.0,2,200.0,33.0,13.0,49.5,13.0,4.0,4.0,11.0,16.5
Maw of Sekolah,GoS,244.0,monstrosity,unique,L,7.0,3,2900.0,114.0,12.0,154.0,12.0,8.0,8.0,53.0,53.0
Maw of Yeenoghu,BPGotG,159.0,fiend,generic,N,10.0,4,5900.0,161.0,15.0,161.0,17.0,10.0,12.0,61.333332,61.333332
Meazel,MPMotM,177.0,monstrosity,generic,N,1.0,2,200.0,35.0,13.0,35.0,17.0,5.0,9.0,10.0,10.0
Medusa,MM,214.0,monstrosity,generic,N,6.0,3,2300.0,127.5,15.0,127.5,15.0,5.0,5.0,28.0,28.0
"Medusa, Theran",MOoT,206.0,monstrosity,generic,N,6.0,3,2300.0,127.5,15.0,127.5,19.0,5.0,9.0,30.0,30.0
Meenlock,MPMotM,178.0,fey,generic,N,2.0,2,450.0,31.5,15.0,46.5,17.0,4.0,4.0,7.0,7.0
Meenlock,VGtM,170.0,fey,legacy,N,2.0,2,450.0,31.5,15.0,46.5,17.0,4.0,4.0,7.0,7.0
Megapede,SAiS:BAM,36.0,monstrosity,generic,N,11.0,4,7200.0,175.5,15.0,175.5,15.0,10.0,10.0,67.5,80.833336
Meletian Hoplite,MOoT,229.0,humanoid,generic,N,3.0,2,700.0,49.5,18.0,49.5,18.0,5.0,5.0,18.0,18.0
Meloon Wardragon,WDH,210.0,humanoid,unique,N,9.0,4,5000.0,143.0,18.0,193.0,18.0,9.0,9.0,44.0,44.0
Memory Web,QftIS,208.0,aberration,generic,N,4.0,2,1100.0,39.0,14.0,78.0,15.0,5.0,5.0,12.5,25.5
"Mephit, Dust",MM,215.0,elemental,generic,N,0.5,2,100.0,17.5,12.0,34.0,12.0,4.0,4.0,4.0,4.0
"Mephit, Ice",MM,215.0,elemental,generic,N,0.5,2,100.0,21.0,11.0,21.0,11.0,3.0,3.0,8.0,8.0
"Mephit, Magma",MM,216.0,elemental,generic,N,0.5,2,100.0,22.5,11.0,22.5,11.0,3.0,3.0,17.666666,17.666666
"Mephit, Mud",MM,216.0,elemental,generic,N,0.25,2,50.0,27.0,11.0,27.0,11.0,3.0,3.0,4.5,4.5
"Mephit, Smoke",MM,217.0,elemental,generic,N,0.25,2,50.0,22.5,12.0,22.5,12.0,4.0,4.0,4.5,4.5
"Mephit, Steam",MM,217.0,elemental,generic,N,0.25,2,50.0,21.0,10.0,21.0,10.0,2.0,2.0,7.8333335,7.8333335
Mercane,SAiS:BAM,37.0,celestial,generic,N,5.0,3,1800.0,75.0,13.0,75.0,17.0,6.0,6.0,30.0,30.0
Mercion,TWBtW,224.0,humanoid,unique,N,3.0,2,700.0,31.5,19.0,31.5,19.0,5.0,5.0,32.666668,32.666668
Mercykiller Bloodhound,PAitM:MPP,60.0,humanoid,generic,N,7.0,3,2900.0,120.0,18.0,120.0,18.0,6.0,6.0,54.0,54.0
Merfolk,MM,218.0,humanoid,generic,N,0.125,2,25.0,11.0,11.0,11.0,11.0,2.0,2.0,4.5,4.5
Merfolk Salvager,GoS,244.0,humanoid,generic,N,1.0,2,200.0,22.0,12.0,22.0,12.0,4.0,4.0,12.0,12.0
Merregon,MPMotM,179.0,fiend,generic,N,4.0,2,1100.0,45.0,16.0,90.0,18.0,6.0,6.0,19.0,28.5
Merregon,MToF,166.0,fiend,legacy,N,4.0,2,1100.0,45.0,16.0,90.0,18.0,6.0,6.0,19.0,28.5
Merrenoloth,MPMotM,180.0,fiend,generic,N,3.0,2,700.0,40.5,13.0,81.0,16.0,5.0,5.0,23.333334,23.333334
Merrenoloth,MToF,249.0,fiend,legacy,N,3.0,2,700.0,40.5,13.0,81.0,16.0,5.0,5.0,23.333334,23.333334
Merrow,MM,219.0,monstrosity,generic,N,2.0,2,450.0,45.0,13.0,45.0,13.0,6.0,6.0,17.666666,17.666666
Merrow Shallowpriest,EGtW,294.0,monstrosity,generic,N,4.0,2,1100.0,75.0,15.0,75.0,15.0,5.0,5.0,56.0,56.0
Metallic Peacekeeper,FToD,210.0,construct,generic,N,4.0,2,1100.0,68.0,17.0,68.0,17.0,5.0,5.0,33.0,33.0
Metallic Warbler,FToD,210.0,construct,generic,N,0.25,2,50.0,14.0,14.0,14.0,14.0,4.0,4.0,4.5,4.5
Mezzoloth,MM,313.0,fiend,generic,N,5.0,3,1800.0,75.0,18.0,112.5,20.0,7.0,7.0,32.666668,32.666668
Miirym,CM,16.0,undead,unique,L,22.0,7,41000.0,262.5,10.0,472.5,14.0,10.0,10.0,181.5,181.5
Mimic,MM,220.0,monstrosity,generic,N,2.0,2,450.0,58.5,12.0,58.5,12.0,5.0,5.0,12.0,12.0
"Mimic, Giant",WDH,122.0,monstrosity,generic,N,3.0,2,700.0,75.0,12.0,75.0,12.0,5.0,9.0,26.0,26.0
Mind Drinker Vampire,GGtR,224.0,undead,generic,N,4.0,2,1100.0,55.0,14.0,55.0,20.0,6.0,6.0,24.0,24.0
Mind Flayer,MM,222.0,aberration,generic,N,7.0,3,2900.0,71.5,15.0,131.5,19.0,7.0,7.0,51.333332,51.333332
Mind Flayer Arcanist,MM,222.0,aberration,generic,N,8.0,3,3900.0,71.5,15.0,71.5,24.0,7.0,7.0,82.0,82.0
Mind Flayer Clairvoyant,PaBTSO,209.0,aberration,legendary,L,11.0,4,7200.0,156.0,15.0,336.0,23.0,9.0,9.0,43.0,43.0
Mind Flayer Lich,VGtM,172.0,undead,legendary,L,22.0,7,41000.0,135.0,17.0,356.3,26.0,12.0,12.0,158.66667,158.66667
Mind Flayer Prophet,PaBTSO,210.0,aberration,generic,N,8.0,3,3900.0,97.5,17.0,157.5,21.0,8.0,8.0,39.0,39.0
Mind Flayer Psion,VGtM,71.0,aberration,generic,N,8.0,3,3900.0,71.5,15.0,71.5,19.0,7.0,7.0,52.666668,52.666668
"Mind Flayer, Vampiric",VRGtR,252.0,undead,generic,N,5.0,3,1800.0,85.0,15.0,85.0,17.0,7.0,7.0,38.0,38.0
Mind Mage,GGtR,233.0,humanoid,generic,N,5.0,3,1800.0,49.5,15.0,49.5,15.0,8.0,8.0,55.333332,55.333332
Mind’s Eye Matter Smith,PAitM:MPP,60.0,humanoid,generic,N,4.0,2,1100.0,78.0,15.0,78.0,18.0,5.0,5.0,27.0,27.0
Mindwitness,MPMotM,181.0,aberration,generic,N,5.0,3,1800.0,75.0,15.0,75.0,17.0,5.0,5.0,36.0,36.0
Mindwitness,VGtM,176.0,aberration,legacy,N,5.0,3,1800.0,75.0,15.0,75.0,17.0,5.0,5.0,36.0,36.0
Minotaur,MM,223.0,monstrosity,generic,N,3.0,2,700.0,76.5,14.0,76.5,14.0,6.0,6.0,24.333334,24.333334
Minotaur Archaeologist,TBoMT,126.0,humanoid,generic,N,0.25,2,50.0,18.0,11.0,18.0,11.0,3.0,3.0,4.5,5.6666665
Minotaur Infiltrator,TBoMT,127.0,humanoid,generic,N,2.0,2,450.0,52.0,13.0,52.0,13.0,6.0,6.0,15.666667,18.666666
Minotaur Living Crystal Statue,GoS,245.0,construct,unique,N,6.0,3,2300.0,136.0,15.0,136.0,15.0,7.0,7.0,41.0,41.0
Miraj Vizann,PotA,198.0,humanoid,unique,N,6.0,3,2300.0,82.5,13.0,82.5,17.0,7.0,7.0,68.666664,68.666664
Mirror Shade,VEoR,226.0,undead,generic,N,10.0,4,5900.0,91.0,13.0,136.5,17.0,7.0,9.0,57.0,57.0
Mirt,WDH,211.0,humanoid,unique,N,9.0,4,5000.0,153.0,16.0,153.0,19.0,9.0,9.0,52.0,52.0
Mist Hulk,BPGotG,160.0,elemental,generic,N,6.0,3,2300.0,94.5,15.0,94.5,19.0,8.0,8.0,30.666666,46.533337
Mister Light,TWBtW,26.0,humanoid,unique,N,3.0,2,700.0,77.0,13.0,87.0,13.0,5.0,5.0,22.0,22.0
Mister Witch,TWBtW,25.0,humanoid,unique,N,3.0,2,700.0,82.5,10.0,92.5,10.0,4.0,4.0,22.0,22.0
Molliver,TWBtW,226.0,humanoid,unique,N,3.0,2,700.0,60.0,15.0,69.0,16.0,5.0,5.0,27.0,27.0
Moloch,MPMotM,183.0,fiend,unique,L,21.0,7,33000.0,253.0,19.0,403.0,23.0,15.0,15.0,145.0,145.0
Moloch,MToF,176.0,fiend,legacy,L,21.0,7,33000.0,253.0,19.0,403.0,23.0,15.0,15.0,139.0,139.0
Molydeus,MPMotM,184.0,fiend,legendary,L,21.0,7,33000.0,216.0,19.0,306.0,23.0,16.0,16.0,181.5,181.5
Molydeus,MToF,134.0,fiend,legacy,L,21.0,7,33000.0,216.0,19.0,306.0,23.0,16.0,16.0,144.5,144.5
Monastic High Curator,CRCotN,201.0,humanoid,generic,N,10.0,4,5900.0,130.0,19.0,130.0,19.0,10.0,10.0,69.666664,88.333336
Monastic Infiltrator,CRCotN,202.0,humanoid,generic,N,6.0,3,2300.0,112.5,18.0,112.5,18.0,8.0,8.0,42.0,42.0
Monastic Operative,CRCotN,202.0,humanoid,generic,N,5.0,3,1800.0,84.5,17.0,84.5,17.0,7.0,7.0,39.5,39.5
Mongrelfolk,CoS,234.0,humanoid,generic,N,0.25,2,50.0,26.0,11.0,26.0,11.0,3.0,3.0,6.0,6.0
Monodrone,MM,224.0,construct,generic,N,0.125,2,25.0,5.5,15.0,5.5,15.0,3.0,3.0,4.5,4.5
Moonlight Guardian,VEoR,227.0,construct,generic,N,6.0,3,2300.0,105.0,16.0,157.5,18.0,7.0,7.0,32.333332,32.333332
Moonstone Dragon Wyrmling,FToD,213.0,dragon,generic,N,2.0,2,450.0,39.0,17.0,39.0,21.0,5.0,5.0,19.666666,19.666666
"Moonstone Dragon, Adult",FToD,212.0,dragon,legendary,L,15.0,5,13000.0,195.5,19.0,285.5,21.0,10.0,10.0,92.833336,92.833336
"Moonstone Dragon, Adult",FToD,212.0,dragon,legendary,LL,16.0,5,15000.0,195.5,19.0,330.5,21.0,10.0,10.0,92.833336,92.833336
"Moonstone Dragon, Ancient",FToD,211.0,dragon,legendary,L,21.0,7,33000.0,330.0,20.0,420.0,22.0,13.0,13.0,107.833336,107.833336
"Moonstone Dragon, Ancient",FToD,211.0,dragon,legendary,LL,22.0,7,41000.0,330.0,20.0,465.0,22.0,13.0,13.0,107.833336,107.833336
"Moonstone Dragon, Young",FToD,213.0,dragon,generic,N,8.0,3,3900.0,144.5,18.0,144.5,20.0,7.0,7.0,54.0,54.0
Moorbounder,EGtW,295.0,beast,generic,N,1.0,2,200.0,30.0,13.0,30.0,13.0,6.0,6.0,14.0,14.0
"Moorbounder, Bristled",EGtW,295.0,beast,generic,N,3.0,2,700.0,52.5,15.0,52.5,15.0,6.0,6.0,25.0,25.0
Mordakhesh,ERftLW,301.0,fiend,legendary,L,15.0,5,13000.0,170.0,18.0,212.5,18.0,10.0,10.0,122.0,122.0
Morkoth,MPMotM,186.0,aberration,generic,N,11.0,4,7200.0,165.0,17.0,195.0,19.0,9.0,9.0,56.0,66.0
Morkoth,VGtM,178.0,aberration,legacy,N,11.0,4,7200.0,130.0,17.0,200.0,19.0,9.0,9.0,91.666664,101.666664
Mortlock Vanthampur,BGDiA,26.0,humanoid,unique,N,3.0,2,700.0,90.0,12.0,90.0,12.0,6.0,6.0,28.0,28.0
Mountain Goat,IDRotF,304.0,beast,generic,N,0.125,2,25.0,13.0,11.0,13.0,11.0,4.0,4.0,6.6666665,6.6666665
Mouth of Grolantor,MPMotM,187.0,giant,generic,N,6.0,3,2300.0,105.0,14.0,128.3,14.0,8.0,8.0,46.599995,46.599995
Mouth of Grolantor,VGtM,149.0,giant,legacy,N,6.0,3,2300.0,105.0,14.0,128.3,14.0,8.0,8.0,46.599995,46.599995
Mr. Dory,GoS,246.0,aberration,unique,N,10.0,4,5900.0,170.0,18.0,170.0,18.0,9.0,9.0,64.0,64.0
Mud Hulk,BPGotG,161.0,elemental,generic,N,3.0,2,700.0,68.0,13.0,68.0,13.0,5.0,5.0,17.333334,17.333334
Muiral,WDotMM,314.0,monstrosity,unique,L,13.0,5,10000.0,195.5,16.0,285.0,21.0,9.0,9.0,105.0,105.0
Mule,MM,333.0,beast,generic,N,0.125,2,25.0,11.0,10.0,11.0,10.0,2.0,2.0,4.5,4.5
Mummy,MM,228.0,undead,generic,N,3.0,2,700.0,58.5,11.0,117.0,11.0,5.0,5.0,20.0,20.0
Mummy Lord,MM,229.0,undead,legendary,L,15.0,5,13000.0,97.5,17.0,146.3,21.0,9.0,9.0,157.0,157.0
Mummy Lord,MM,229.0,undead,legendary,LL,16.0,5,15000.0,97.5,17.0,176.3,21.0,9.0,9.0,166.33333,166.33333
Murder Comet,SAiS:BAM,38.0,elemental,generic,N,5.0,3,1800.0,66.5,19.0,66.5,19.0,5.0,5.0,26.5,45.166668
Musteval Guardinal,PAitM:MPP,33.0,celestial,generic,N,2.0,2,450.0,38.5,13.0,38.5,13.0,5.0,5.0,20.0,20.0
Mwaxanaré,ToA,228.0,humanoid,unique,N,0.125,2,25.0,13.5,10.0,13.5,10.0,5.0,5.0,5.0,5.0
Myconid Adult,MM,232.0,plant,generic,N,0.5,2,100.0,22.0,12.0,22.0,12.0,2.0,2.0,10.0,10.0
Myconid Sovereign,MM,232.0,plant,generic,N,2.0,2,450.0,60.0,13.0,60.0,13.0,3.0,3.0,15.0,15.0
