Book,Page,Size,Type,CR,PB,Str,Dex,Con,Int,Wis,Cha,Str Mod,Dex Mod,Con Mod,Int Mod,Wis Mod,Cha Mod,Str Save,Dex Save,Con Save,Int Save,Wis Save,Cha Save
Mordenkainen's Fiendish Folio Volume 1,12,Small,Elemental,0.125,2,13,10,14,5,11,6,1,0,2,-3,0,-2,1,0,2,-3,0,-2
Candlekeep Mysteries,136,Small,Construct,0.5,2,6,14,18,1,10,1,-2,2,4,-5,0,-5,-2,2,4,-5,0,-5
Basic Rules,142,Huge,Beast,3.0,2,19,10,13,3,12,7,4,0,1,-4,1,-2,4,0,1,-4,1,-2
Mordenkainen's Fiendish Folio Volume 1,13,Tiny,Fey,0.0,2,4,19,13,12,14,13,-3,4,1,1,2,1,-3,4,1,1,2,1
Spelljammer: Adventures in Space • Boo’s Astral Menagerie,31,Gargantuan,Celestial,7.0,3,25,7,17,6,14,7,7,-2,3,-2,2,-2,7,-2,3,-2,2,-2
Icewind Dale: Rime of the Frostmaiden,243,Medium,Beast,0.0,2,6,12,12,10,10,4,-2,1,1,0,0,-3,-2,1,1,0,0,-3
Volo's Guide to Monsters,163,Huge,Celestial,12.0,4,21,16,16,19,20,20,5,3,3,4,5,5,5,3,3,4,5,5
Mordenkainen Presents: Monsters of the Multiverse,162,Large,Celestial,12.0,4,21,16,16,19,20,20,5,3,3,4,5,5,5,3,3,4,5,5
Basic Rules,163,Medium,Humanoid,3.0,2,16,11,14,11,11,15,3,0,2,0,0,2,3,0,4,0,2,2
Icewind Dale: Rime of the Frostmaiden,295,Small,Beast,0.0,2,14,14,11,1,6,1,2,2,0,-5,-2,-5,2,2,0,-5,-2,-5
,,Medium,Humanoid,0.5,2,13,11,12,11,10,11,1,0,1,0,0,0,1,2,1,0,0,0
,,Medium,Humanoid,2.0,2,14,11,12,11,10,12,2,0,1,0,0,1,2,2,1,0,2,1
Basic Rules,142,Small,Humanoid,0.125,2,7,15,9,8,7,8,-2,2,-1,-1,-2,-1,-2,2,-1,-1,-2,-1
Volo's Guide to Monsters,165,Small,Humanoid,1.0,2,12,15,14,8,9,10,1,2,2,-1,-1,0,1,2,2,-1,-1,0
Mordenkainen Presents: Monsters of the Multiverse,163,Small,Dragon,1.0,2,12,15,14,8,9,10,1,2,2,-1,-1,0,1,2,2,-1,-1,0
Mordenkainen Presents: Monsters of the Multiverse,164,Small,Humanoid,0.25,2,7,15,12,14,10,8,-2,2,1,2,0,-1,-2,2,1,2,0,-1
Volo's Guide to Monsters,166,Small,Humanoid,0.25,2,7,15,12,8,7,8,-2,2,1,-1,-2,-1,-2,2,1,-1,-2,-1
Volo's Guide to Monsters,167,Small,Humanoid,1.0,2,7,15,14,10,9,14,-2,2,2,0,-1,2,-2,2,2,0,-1,2
Mordenkainen Presents: Monsters of the Multiverse,165,Small,Humanoid,1.0,2,7,15,14,10,9,14,-2,2,2,0,-1,2,-2,2,2,0,-1,2
Explorer's Guide to Wildemount,221,Small,Humanoid,0.125,2,7,16,9,8,9,8,-2,3,-1,-1,-1,-1,-2,3,-1,-1,-1,-1
Icewind Dale: Rime of the Frostmaiden,297,Small,Undead,3.0,2,10,18,16,8,8,8,0,4,3,-1,-1,-1,0,6,3,-1,1,-1
Volo's Guide to Monsters,168,Small,Fey,7.0,3,23,14,20,10,15,9,6,2,5,0,2,-1,6,2,5,0,2,-1
Mordenkainen Presents: Monsters of the Multiverse,166,Small,Fey,7.0,3,23,14,20,10,15,9,6,2,5,0,2,-1,6,2,5,0,2,-1
Baldur's Gate: Descent into Avernus,105,Large,Fiend,25.0,8,30,12,27,18,22,19,10,1,8,4,6,4,10,9,16,4,14,4
Basic Rules,324,Gargantuan,Monstrosity,23.0,7,30,11,25,22,18,20,10,0,7,6,4,5,17,7,14,13,11,5
Volo's Guide to Monsters,215,Medium,Humanoid,5.0,3,12,10,16,10,15,14,1,0,3,0,2,2,1,0,3,0,2,2
Mordenkainen Presents: Monsters of the Multiverse,167,Medium,Monstrosity,5.0,3,12,10,16,10,15,14,1,0,3,0,2,2,1,0,3,0,2,2
Guildmasters' Guide to Ravnica,214,Medium,Humanoid,4.0,2,16,12,14,12,15,10,3,1,2,1,2,0,3,1,4,1,4,0
Guildmasters' Guide to Ravnica,213,Medium,Humanoid,0.5,2,15,12,13,10,11,8,2,1,1,0,0,-1,2,1,1,0,0,-1
Guildmasters' Guide to Ravnica,168,Small,Humanoid,1.0,2,10,14,10,10,8,14,0,2,0,0,-1,2,0,2,0,0,-1,2
Baldur's Gate: Descent into Avernus,110,Medium,Humanoid,6.0,3,20,14,15,12,20,12,5,2,2,1,5,1,5,2,2,1,8,4
Mordenkainen Presents: Monsters of the Multiverse,169,Large,Monstrosity,5.0,3,19,16,17,10,14,10,4,3,3,0,2,0,4,3,3,0,2,0
Mordenkainen’s Tome of Foes,212,Large,Monstrosity,5.0,3,19,16,17,10,14,10,4,3,3,0,2,0,4,3,3,0,2,0
Monster Manual,199,Medium,Humanoid,0.25,2,13,10,11,11,10,8,1,0,0,0,0,-1,1,0,0,0,0,-1
Monster Manual,200,Medium,Humanoid,6.0,3,16,14,16,13,16,14,3,2,3,1,3,2,3,2,3,1,3,2
Monster Manual,200,Medium,Humanoid,1.0,2,14,10,14,12,14,11,2,0,2,1,2,0,2,0,2,1,2,0
,,Medium,Humanoid,1.0,2,14,16,12,10,13,14,2,3,1,0,1,2,2,3,1,0,1,2
Eberron: Rising from the Last War,297,Medium,Undead,22.0,7,16,16,20,27,21,24,3,3,5,8,5,7,3,3,12,15,12,7
Basic Rules,142,Tiny,Beast,0.0,2,2,11,10,1,8,3,-4,0,0,-5,-1,-4,-4,0,0,-5,-1,-4
Monster Manual,205,Medium,Humanoid,4.0,2,17,12,15,11,11,15,3,1,2,0,0,2,3,1,4,0,2,2
Basic Rules,143,Medium,Humanoid,0.5,2,15,10,13,7,12,7,2,0,1,-2,1,-2,2,0,1,-2,1,-2
,,Medium,Humanoid,0.25,2,15,10,12,7,12,7,2,0,1,-2,1,-2,2,0,1,-2,1,-2
,,Large,Humanoid,3.0,2,16,10,14,7,12,7,3,0,2,-2,1,-2,3,0,2,-2,1,-2
,,Medium,Humanoid,1.0,2,15,10,14,7,12,7,2,0,2,-2,1,-2,2,0,2,-2,1,-2
Monster Manual,205,Medium,Humanoid,2.0,2,15,10,13,10,15,8,2,0,1,0,2,-1,2,0,1,0,2,-1
,,Medium,Humanoid,3.0,2,14,12,14,10,16,12,2,1,2,0,3,1,2,1,2,0,5,1
Guildmasters' Guide to Ravnica,170,Large,Construct,1.0,2,18,11,13,1,3,1,4,0,1,-5,-4,-5,4,0,1,-5,-4,-5
,,Medium,Humanoid,0.5,2,13,12,12,11,10,11,1,1,1,0,0,0,1,3,1,0,0,0
,,Medium,Humanoid,2.0,2,13,14,12,11,14,11,1,2,1,0,2,0,1,4,1,0,4,0
Mordenkainen Presents: Monsters of the Multiverse,223,Medium,Monstrosity,9.0,4,16,12,17,6,11,6,3,1,3,-2,0,-2,3,1,3,-2,0,-2
Strixhaven: A Curriculum of Chaos,197,Medium or Small,Humanoid,2.0,2,10,14,13,15,12,11,0,2,1,2,1,0,0,2,3,4,1,0
Strixhaven: A Curriculum of Chaos,197,Medium or Small,Humanoid,4.0,2,10,16,13,17,12,11,0,3,1,3,1,0,0,3,3,5,1,0
Strixhaven: A Curriculum of Chaos,198,Medium or Small,Humanoid,7.0,3,11,14,14,19,15,13,0,2,2,4,2,1,0,2,5,7,5,4
Strixhaven: A Curriculum of Chaos,198,Medium or Small,Humanoid,7.0,3,11,14,14,19,15,13,0,2,2,4,2,1,0,2,5,7,5,4
Mordenkainen Presents: Monsters of the Multiverse,224,Medium,Monstrosity,7.0,3,17,12,15,6,7,5,3,1,2,-2,-2,-3,3,1,2,-2,-2,-3
Van Richten’s Guide to Ravenloft,237,Medium,Monstrosity,13.0,5,18,18,18,14,16,16,4,4,4,2,3,3,4,9,9,2,3,8
Spelljammer: Adventures in Space • Boo’s Astral Menagerie,35,Medium,Dragon,2.0,2,15,12,16,6,10,9,2,1,3,-2,0,-1,2,1,5,-2,2,-1
Infernal Machine Rebuild,54,Medium,Undead,5.0,3,18,14,18,13,16,18,4,2,4,1,3,4,7,2,7,1,6,7
Curse of Strahd,233,Medium,Humanoid,10.0,4,8,11,12,17,20,18,-1,0,1,3,5,4,-1,0,5,3,5,4
,,Gargantuan,Elemental,23.0,7,21,22,20,10,10,19,5,6,5,0,0,4,5,6,12,0,7,11
Basic Rules,164,Medium,Humanoid,6.0,3,9,14,11,17,12,11,-1,2,0,3,1,0,-1,2,0,6,4,0
Strixhaven: A Curriculum of Chaos,199,Large,Monstrosity,5.0,3,19,15,16,11,17,10,4,2,3,0,3,0,4,2,3,3,6,3
Eberron: Rising from the Last War,318,Medium,Humanoid,0.0,2,11,13,10,14,14,12,0,1,0,2,2,1,0,1,0,2,2,1
Critical Role: Call of the Netherdeep,189,Large,Giant,3.0,2,18,14,16,14,14,8,4,2,3,2,2,-1,6,2,5,2,2,-1
Critical Role: Call of the Netherdeep,191,Large,Giant,5.0,3,18,14,18,14,16,8,4,2,4,2,3,-1,7,2,7,2,3,-1
Critical Role: Call of the Netherdeep,194,Large,Giant,8.0,3,20,14,18,14,14,8,5,2,4,2,2,-1,8,2,7,2,2,-1
Basic Rules,331,Small,Elemental,0.5,2,8,12,12,7,10,10,-1,1,1,-2,0,0,-1,1,1,-2,0,0
Basic Rules,329,Small,Elemental,0.5,2,7,15,12,8,11,10,-2,2,1,-1,0,0,-2,2,1,-1,0,0
Baldur's Gate: Descent into Avernus,127,Medium,Fiend,14.0,5,14,18,18,14,18,20,2,4,4,2,4,5,2,4,4,2,9,10
Mordenkainen Presents: Monsters of the Multiverse,231,Medium,Monstrosity,0.25,2,15,12,14,2,10,3,2,1,2,-4,0,-4,2,1,2,-4,0,-4
,,Medium,Monstrosity,0.25,2,15,12,14,2,10,3,2,1,2,-4,0,-4,2,1,2,-4,0,-4
,,Huge,Monstrosity,10.0,4,25,11,20,11,15,15,7,0,5,0,2,2,11,0,9,4,6,6
Basic Rules,143,Huge,Beast,6.0,3,24,9,21,3,11,6,7,-1,5,-4,0,-2,7,-1,5,-4,0,-2
Monster Manual,60,Small,Fiend,0.125,2,10,9,13,3,8,4,0,-1,1,-4,-1,-3,0,-1,1,-4,-1,-3
,,Medium,Humanoid,13.0,5,10,14,12,23,15,16,0,2,1,6,2,3,2,4,3,13,9,5
Basic Rules,143,Large,Monstrosity,3.0,2,17,16,17,7,12,8,3,3,3,-2,1,-1,3,3,3,-2,1,-1
,,Large,Plant,1.0,2,15,14,12,1,10,2,2,2,1,-5,0,-4,2,2,1,-5,0,-4
Monster Manual,146,Large,Elemental,11.0,4,22,12,26,18,17,18,6,1,8,4,3,4,6,5,8,4,7,8
Basic Rules,272,Large,Fiend,16.0,5,18,20,20,18,16,20,4,5,5,4,3,5,9,5,10,4,8,10
Princes of the Apocalypse,199,Medium,Monstrosity,8.0,3,17,11,18,12,13,17,3,0,4,1,1,3,3,0,4,1,1,3
Volo's Guide to Monsters,216,Medium,Humanoid,3.0,2,11,17,13,11,16,10,0,3,1,0,3,0,0,3,1,0,3,0
Mordenkainen Presents: Monsters of the Multiverse,172,Medium,Humanoid,3.0,2,11,17,13,11,16,10,0,3,1,0,3,0,0,3,1,0,3,0
Mordenkainen Presents: Monsters of the Multiverse,173,Large,Construct,25.0,8,28,12,26,19,15,18,9,1,8,4,2,4,9,1,8,12,10,12
Mordenkainen’s Tome of Foes,213,Large,Construct,25.0,8,28,12,26,19,15,18,9,1,8,4,2,4,9,1,8,12,10,12
,,Medium,Humanoid,2.0,2,10,12,10,14,14,15,0,1,0,2,2,2,1,2,1,3,5,5
Guildmasters' Guide to Ravnica,196,Large,Fiend,9.0,4,18,17,16,19,16,21,4,3,3,4,3,5,4,3,7,8,7,9
Baldur's Gate: Descent into Avernus,234,Medium,Humanoid,4.0,2,10,14,17,19,14,13,0,2,3,4,2,1,0,2,3,4,4,1
Candlekeep Mysteries,9,Medium,Humanoid,5.0,3,8,10,10,20,18,11,-1,0,0,5,4,0,-1,0,0,5,4,0
Mordenkainen Presents: Monsters of the Multiverse,174,Medium,Humanoid,5.0,3,11,18,14,11,11,12,0,4,2,0,0,1,0,7,2,3,0,1
Volo's Guide to Monsters,216,Medium,Humanoid,5.0,3,11,18,14,11,11,12,0,4,2,0,0,1,0,7,2,3,0,1
Basic Rules,144,Medium,Beast,0.125,2,13,14,12,3,12,7,1,2,1,-4,1,-2,1,2,1,-4,1,-2
Mordenkainen’s Tome of Foes,133,Medium,Fiend,7.0,3,14,17,12,11,12,15,2,3,1,0,1,2,2,3,1,0,1,2
Mordenkainen Presents: Monsters of the Multiverse,175,Medium,Fiend,7.0,3,14,17,12,11,12,15,2,3,1,0,1,2,2,3,1,0,1,2
Mordenkainen Presents: Monsters of the Multiverse,176,Medium,Fiend,1.0,2,14,8,13,5,8,5,2,-1,1,-3,-1,-3,2,-1,1,-3,-1,-3
Volo's Guide to Monsters,137,Medium,Fiend,1.0,2,14,8,13,5,8,5,2,-1,1,-3,-1,-3,2,-1,1,-3,-1,-3
,,Huge,Monstrosity,7.0,3,21,12,17,2,14,7,5,1,3,-4,2,-2,8,1,6,-4,2,-2
Mordenkainen Presents: Monsters of the Multiverse,177,Medium,Monstrosity,1.0,2,8,17,9,14,13,10,-1,3,-1,2,1,0,-1,3,-1,2,1,0
Mordenkainen’s Tome of Foes,214,Medium,Humanoid,1.0,2,8,17,9,14,13,10,-1,3,-1,2,1,0,-1,3,-1,2,1,0
Basic Rules,144,Medium,Monstrosity,6.0,3,10,15,16,12,13,15,0,2,3,1,1,2,0,2,3,1,1,2
Mordenkainen Presents: Monsters of the Multiverse,178,Small,Fey,2.0,2,7,15,12,11,10,8,-2,2,1,0,0,-1,-2,2,1,0,0,-1
Volo's Guide to Monsters,170,Small,Fey,2.0,2,6,15,12,11,10,8,-2,2,1,0,0,-1,-2,2,1,0,0,-1
Spelljammer: Adventures in Space • Boo’s Astral Menagerie,36,Gargantuan,Monstrosity,11.0,4,22,10,17,1,10,3,6,0,3,-5,0,-4,6,0,7,-5,4,-4
Mythic Odysseys of Theros,229,Medium,Humanoid,3.0,2,16,14,12,16,13,11,3,2,1,3,1,0,3,4,1,5,1,0
,,Medium,Humanoid,9.0,4,20,15,14,10,14,15,5,2,2,0,2,2,9,2,6,0,2,2
Spelljammer: Adventures in Space • Boo’s Astral Menagerie,37,Large,Giant,5.0,3,16,10,15,18,16,15,3,0,2,4,3,2,3,0,2,7,6,5
The Wild Beyond the Witchlight,224,Medium,Humanoid,3.0,2,15,10,9,12,17,17,2,0,-1,1,3,3,2,0,-1,1,5,5
Basic Rules,144,Medium,Humanoid,0.125,2,10,13,12,11,11,12,0,1,1,0,0,1,0,1,1,0,0,1
,,Medium,Humanoid,1.0,2,12,14,12,11,10,13,1,2,1,0,0,1,1,4,1,0,0,1
Mordenkainen Presents: Monsters of the Multiverse,179,Medium,Fiend,4.0,2,18,14,17,6,12,8,4,2,3,-2,1,-1,4,2,3,-2,1,-1
Mordenkainen’s Tome of Foes,166,Medium,Fiend,4.0,2,18,14,17,6,12,8,4,2,3,-2,1,-1,4,2,3,-2,1,-1
Mordenkainen’s Tome of Foes,249,Medium,Fiend,3.0,2,8,17,10,17,14,11,-1,3,0,3,2,0,-1,5,0,5,2,0
Mordenkainen Presents: Monsters of the Multiverse,180,Medium,Fiend,3.0,2,8,17,10,17,14,11,-1,3,0,3,2,0,-1,5,0,5,2,0
Basic Rules,332,Large,Monstrosity,2.0,2,18,10,15,8,10,9,4,0,2,-1,0,-1,4,0,2,-1,0,-1
Explorer's Guide to Wildemount,294,Large,Monstrosity,4.0,2,18,14,15,11,16,9,4,2,2,0,3,-1,4,2,2,0,3,-1
Fizban's Treasury of Dragons,210,Medium,Construct,4.0,2,17,10,18,14,12,11,3,0,4,2,1,0,3,0,4,2,1,0
Fizban's Treasury of Dragons,210,Tiny,Construct,0.25,2,4,15,12,9,10,12,-3,2,1,-1,0,1,-3,4,1,-1,0,1
Monster Manual,313,Medium,Fiend,5.0,3,18,11,16,7,10,11,4,0,3,-2,0,0,4,0,3,-2,0,0
Candlekeep Mysteries,16,Large,Undead,22.0,7,17,10,20,18,15,23,3,0,5,4,2,6,3,7,12,11,9,13
Basic Rules,332,Medium,Monstrosity,2.0,2,17,12,15,5,13,8,3,1,2,-3,1,-1,3,1,2,-3,1,-1
Guildmasters' Guide to Ravnica,224,Medium,Undead,4.0,2,16,18,12,19,13,14,3,4,1,4,1,2,3,6,1,6,3,2
Monster Manual,222,Medium,Aberration,7.0,3,11,12,12,19,17,17,0,1,1,4,3,3,0,1,1,7,6,6
Monster Manual,222,Medium,Aberration,7.0,3,11,12,12,19,17,17,0,1,1,4,3,3,0,1,1,7,6,6
Guildmasters' Guide to Ravnica,233,Medium,Humanoid,5.0,3,10,14,10,20,15,16,0,2,0,5,2,3,0,2,0,8,5,3
Volo's Guide to Monsters,176,Large,Aberration,5.0,3,10,14,14,15,15,10,0,2,2,2,2,0,0,2,2,5,5,0
Mordenkainen Presents: Monsters of the Multiverse,181,Large,Aberration,5.0,3,10,14,14,15,15,10,0,2,2,2,2,0,0,2,2,5,5,0
Basic Rules,145,Large,Monstrosity,3.0,2,18,11,16,6,16,9,4,0,3,-2,3,-1,4,0,3,-2,3,-1
,,Large,Construct,6.0,3,18,9,16,6,10,5,4,-1,3,-2,0,-3,4,-1,3,-2,0,-3
Basic Rules,346,Large,Undead,2.0,2,18,11,15,6,8,5,4,0,2,-2,-1,-3,4,0,2,-2,-1,-3
Princes of the Apocalypse,198,Medium,Humanoid,6.0,3,12,10,17,13,11,18,1,0,3,1,0,4,1,0,3,1,0,4
,,Medium,Humanoid,9.0,4,18,18,18,15,12,15,4,4,4,2,1,2,4,8,4,2,5,2
The Wild Beyond the Witchlight,26,Medium,Humanoid,3.0,2,10,16,12,12,13,17,0,3,1,1,1,3,0,5,1,1,1,5
The Wild Beyond the Witchlight,25,Medium,Humanoid,3.0,2,14,11,16,16,13,14,2,0,3,3,1,2,2,0,3,5,3,2
Mordenkainen's Fiendish Folio Volume 1,14,Small,Fey,0.25,2,7,14,11,10,8,13,-2,2,0,0,-1,1,-2,2,0,0,-1,1
Infernal Machine Rebuild,55,Medium,Humanoid,12.0,4,10,12,13,19,16,16,0,1,1,4,3,3,0,1,5,8,7,3
The Wild Beyond the Witchlight,226,Medium,Humanoid,3.0,2,9,17,16,10,9,16,-1,3,3,0,-1,3,-1,5,3,2,-1,3
Mordenkainen Presents: Monsters of the Multiverse,183,Large,Fiend,21.0,7,26,19,22,21,18,23,8,4,6,5,4,6,8,11,13,5,11,13
Mordenkainen’s Tome of Foes,176,Large,Fiend,21.0,7,26,19,22,21,18,23,8,4,6,5,4,6,8,11,13,5,11,13
Mordenkainen Presents: Monsters of the Multiverse,184,Huge,Fiend,21.0,7,28,22,25,21,24,24,9,6,7,5,7,7,16,6,14,5,14,14
Mordenkainen’s Tome of Foes,134,Huge,Fiend,21.0,7,28,22,25,21,24,24,9,6,7,5,7,7,16,6,14,5,14,14
Critical Role: Call of the Netherdeep,201,Medium or Small,Humanoid,10.0,4,12,16,14,18,22,17,1,3,2,4,6,3,1,7,2,4,10,3
Critical Role: Call of the Netherdeep,202,Medium or Small,Humanoid,6.0,3,13,20,16,15,17,16,1,5,3,2,3,3,1,8,3,2,6,3
Critical Role: Call of the Netherdeep,202,Medium or Small,Humanoid,5.0,3,13,18,14,14,17,11,1,4,2,2,3,0,1,7,2,2,6,0
Curse of Strahd,234,Medium,Humanoid,0.25,2,12,9,15,9,10,6,1,-1,2,-1,0,-2,1,-1,2,-1,0,-2
Monster Manual,224,Medium,Construct,0.125,2,10,13,12,4,10,5,0,1,1,-3,0,-3,0,1,1,-3,0,-3
,,Large,Monstrosity,11.0,4,19,14,16,9,14,10,4,2,3,-1,2,0,9,6,3,-1,6,0
Fizban's Treasury of Dragons,213,Medium,Dragon,2.0,2,16,14,14,16,14,17,3,2,2,3,2,3,3,2,2,5,4,5
Explorer's Guide to Wildemount,295,Large,Beast,1.0,2,18,14,14,2,13,5,4,2,2,-4,1,-3,4,2,2,-4,1,-3
Eberron: Rising from the Last War,301,Medium,Fiend,15.0,5,20,16,18,15,17,20,5,3,4,2,3,5,10,3,9,2,8,10
Acquisitions Incorporated,199,Medium,Humanoid,4.0,2,12,18,12,12,14,10,1,4,1,1,2,0,3,6,1,1,2,0
Mordenkainen Presents: Monsters of the Multiverse,186,Large,Aberration,11.0,4,14,14,14,20,15,13,2,2,2,5,2,1,2,6,2,9,6,1
Volo's Guide to Monsters,178,Medium,Aberration,11.0,4,14,14,14,20,15,13,2,2,2,5,2,1,2,6,2,9,6,1
Lost Mine of Phandelver,59,Medium,Undead,3.0,2,6,16,16,12,14,15,-2,3,3,1,2,2,-2,3,3,1,2,2
Baldur's Gate: Descent into Avernus,26,Medium,Humanoid,3.0,2,18,14,17,10,12,13,4,2,3,0,1,1,4,2,3,0,1,1
Icewind Dale: Rime of the Frostmaiden,304,Medium,Beast,0.125,2,14,12,14,2,10,5,2,1,2,-4,0,-3,2,1,2,-4,0,-3
Mordenkainen Presents: Monsters of the Multiverse,187,Huge,Giant,6.0,3,21,10,18,5,7,5,5,0,4,-3,-2,-3,5,0,4,-3,-2,-3
Volo's Guide to Monsters,149,Huge,Giant,6.0,3,21,10,18,5,7,5,5,0,4,-3,-2,-3,5,0,4,-3,-2,-3
,,Medium,Aberration,10.0,4,13,20,19,14,14,16,1,5,4,2,2,3,1,5,8,2,6,3
Monster Manual,216,Small,Elemental,0.25,2,8,12,12,9,11,7,-1,1,1,-1,0,-2,-1,1,1,-1,0,-2
,,Large,Monstrosity,13.0,5,19,11,16,18,13,18,4,0,3,4,1,4,4,0,8,9,1,4
Basic Rules,145,Medium,Beast,0.125,2,14,10,13,2,10,5,2,0,1,-4,0,-3,2,0,1,-4,0,-3
Basic Rules,145,Medium,Undead,3.0,2,16,8,15,6,10,12,3,-1,2,-2,0,1,3,-1,2,-2,2,1
Basic Rules,334,Medium,Undead,15.0,5,18,10,17,11,18,16,4,0,3,0,4,3,4,0,8,5,9,8
Spelljammer: Adventures in Space • Boo’s Astral Menagerie,38,Medium,Elemental,5.0,3,15,15,20,6,10,6,2,2,5,-2,0,-2,2,2,5,-2,0,-2
,,Medium,Humanoid,0.125,2,6,10,11,13,12,16,-2,0,0,1,1,3,-2,0,0,1,1,3
Monster Manual,232,Medium,Plant,0.5,2,10,10,12,10,13,7,0,0,1,0,1,-2,0,0,1,0,1,-2
Monster Manual,232,Large,Plant,2.0,2,12,10,14,13,15,10,1,0,2,1,2,0,1,0,2,1,2,0
Monster Manual,230,Small,Plant,0.0,2,8,10,10,8,11,5,-1,0,0,-1,0,-3,-1,0,0,-1,0,-3
Mordenkainen’s Tome of Foes,135,Medium,Fiend,15.0,5,22,14,21,14,15,17,6,2,5,2,2,3,11,7,5,2,2,3
Mordenkainen Presents: Monsters of the Multiverse,188,Medium,Fiend,15.0,5,22,14,21,14,15,17,6,2,5,2,2,3,11,7,5,2,2,3
,,Medium,Undead,11.0,4,20,12,16,12,14,16,5,1,3,1,2,3,5,5,3,1,6,3
Mordenkainen’s Tome of Foes,215,Medium,Humanoid,17.0,6,9,15,12,23,18,21,-1,2,1,6,4,5,-1,2,1,12,10,11
Mordenkainen Presents: Monsters of the Multiverse,189,Medium,Monstrosity,17.0,6,9,15,12,23,18,21,-1,2,1,6,4,5,-1,2,1,12,10,11
Mythic Odysseys of Theros,236,Medium,Fey,2.0,2,10,16,11,15,10,18,0,3,0,2,0,4,0,3,0,2,0,4
Basic Rules,272,Large,Fiend,13.0,5,21,10,22,19,12,15,5,0,6,4,1,2,5,0,11,9,6,7
,,Small,Humanoid,2.0,2,9,14,13,14,5,16,-1,2,1,2,-3,3,-1,4,1,2,-3,5
Mordenkainen’s Tome of Foes,167,Medium,Fiend,13.0,5,20,10,17,16,14,19,5,0,3,3,2,4,5,5,8,3,2,9
Mordenkainen Presents: Monsters of the Multiverse,190,Medium,Fiend,13.0,5,20,10,17,16,14,19,5,0,3,3,2,4,5,5,8,3,2,9
Icewind Dale: Rime of the Frostmaiden,272,Medium,Undead,6.0,3,7,13,10,17,12,17,-2,1,0,3,1,3,-2,1,0,3,1,3
Van Richten’s Guide to Ravenloft,238,Medium,Undead,7.0,3,8,15,17,17,13,10,-1,2,3,3,1,0,-1,2,6,6,4,0
Volo's Guide to Monsters,217,Medium,Humanoid,9.0,4,9,14,12,17,12,11,-1,2,1,3,1,0,-1,2,1,7,5,0
Mordenkainen Presents: Monsters of the Multiverse,264,Medium,Humanoid,9.0,4,9,14,12,17,12,11,-1,2,1,3,1,0,-1,2,1,7,5,0
Baldur's Gate: Descent into Avernus,234,Medium,Humanoid,0.5,2,10,13,15,16,11,10,0,1,2,3,0,0,0,1,2,3,0,0
Monster Manual,32,Medium,Plant,0.25,2,12,12,13,4,8,3,1,1,1,-3,-1,-4,1,1,1,-3,-1,-4
Mordenkainen's Fiendish Folio Volume 1,16,Large,Plant,3.0,2,18,11,14,11,15,12,4,0,2,0,2,1,4,0,2,0,2,1
Mordenkainen's Fiendish Folio Volume 1,16,Medium,Plant,0.5,2,11,16,14,13,11,10,0,3,2,1,0,0,0,3,2,1,0,0
Spelljammer: Adventures in Space • Boo’s Astral Menagerie,39,Large,Aberration,4.0,2,15,8,18,12,11,7,2,-1,4,1,0,-2,2,-1,4,1,0,-2
Mordenkainen Presents: Monsters of the Multiverse,192,Small,Aberration,3.0,2,6,16,14,13,12,15,-2,3,2,1,1,2,-2,3,2,1,1,2
Volo's Guide to Monsters,180,Small,Aberration,3.0,2,6,16,14,13,12,15,-2,3,2,1,1,2,-2,3,2,1,1,2
Volo's Guide to Monsters,179,Tiny,Aberration,0.125,2,3,13,10,6,10,9,-4,1,0,-2,0,-1,-4,1,0,-2,0,-1
Mordenkainen Presents: Monsters of the Multiverse,191,Tiny,Aberration,0.125,2,3,13,10,6,10,9,-4,1,0,-2,0,-1,-4,1,0,-2,0,-1
Spelljammer: Adventures in Space • Boo’s Astral Menagerie,40,Medium,Aberration,3.0,2,12,13,14,6,10,9,1,1,2,-2,0,-1,1,1,2,-2,0,-1
Mordenkainen Presents: Monsters of the Multiverse,192,Medium,Aberration,4.0,2,6,16,14,16,12,18,-2,3,2,3,1,4,-2,3,2,3,3,4
Volo's Guide to Monsters,180,Medium,Aberration,4.0,2,6,16,14,16,12,18,-2,3,2,3,1,4,-2,3,2,3,3,4
Spelljammer: Adventures in Space • Boo’s Astral Menagerie,41,Small,Aberration,3.0,2,6,15,14,13,12,15,-2,2,2,1,1,2,-2,2,2,1,1,2
Spelljammer: Adventures in Space • Boo’s Astral Menagerie,41,Medium,Aberration,4.0,2,6,16,14,16,12,18,-2,3,2,3,1,4,-2,3,2,3,3,6
Infernal Machine Rebuild,75,Huge,Aberration,7.0,3,20,11,22,12,13,6,5,0,6,1,1,-2,5,0,9,1,1,-2
Mordenkainen Presents: Monsters of the Multiverse,193,Gargantuan,Aberration,13.0,5,27,7,21,3,16,12,8,-2,5,-4,3,1,8,-2,5,1,8,6
Volo's Guide to Monsters,181,Gargantuan,Aberration,13.0,5,27,7,21,3,16,12,8,-2,5,-4,3,1,8,-2,5,1,8,6
,,Medium,Fey,2.0,2,10,17,12,13,14,16,0,3,1,1,2,3,0,3,1,1,2,3
Explorer's Guide to Wildemount,296,Large,Fiend,3.0,2,18,12,20,12,10,12,4,1,5,1,0,1,4,1,5,1,0,1
,,Medium,Humanoid,9.0,4,8,17,15,16,13,18,-1,3,2,3,1,4,-1,3,6,3,5,4
