source.book,source.page,size,type,cr,legacy,damage immunities,damage resistances,damage vulnerabilities,damage modifiers.acid,damage modifiers.bludgeoning,damage modifiers.cold,damage modifiers.fire,damage modifiers.force,damage modifiers.lightning,damage modifiers.necrotic,damage modifiers.piercing,damage modifiers.poison,damage modifiers.psychic,damage modifiers.radiant,damage modifiers.slashing,damage modifiers.thunder
Baldur's Gate: Descent into Avernus,105,Large,Fiend,25.0,False,"cold, poison; bludgeoning, piercing, and slashing damage that is nonmagical","fire, lightning",,,I-N,I,R,,R,,I-N,I,,,I-N,
Basic Rules,324,Gargantuan,Monstrosity,23.0,False,"lightning; bludgeoning, piercing, and slashing from nonmagical attacks",,,,I-N,,,,I,,I-N,,,,I-N,
Volo's Guide to Monsters,215,Medium,Humanoid,5.0,True,,"bludgeoning, piercing, and slashing from nonmagical attacks",,,R-N,,,,,,R-N,,,,R-N,
Mordenkainen Presents: Monsters of the Multiverse,167,Medium,Monstrosity,5.0,False,,,,,,,,,,,,,,,,
Guildmasters' Guide to Ravnica,214,Medium,Humanoid,4.0,False,,,,,,,,,,,,,,,,
Guildmasters' Guide to Ravnica,213,Medium,Humanoid,0.5,False,,,,,,,,,,,,,,,,
Guildmasters' Guide to Ravnica,168,Small,Humanoid,1.0,False,,,,,,,,,,,,,,,,
Baldur's Gate: Descent into Avernus,110,Medium,Humanoid,6.0,False,,,,,,,,,,,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,169,Large,Monstrosity,5.0,False,,,,,,,,,,,,,,,,
Mordenkainen’s Tome of Foes,212,Large,Monstrosity,5.0,True,,,,,,,,,,,,,,,,
Monster Manual,199,Medium,Humanoid,0.25,False,,,,,,,,,,,,,,,,
Monster Manual,200,Medium,Humanoid,6.0,False,,,,,,,,,,,,,,,,
Monster Manual,200,Medium,Humanoid,1.0,False,,,,,,,,,,,,,,,,
Ghosts of Saltmarsh,,Medium,Humanoid,1.0,False,,,,,,,,,,,,,,,,
Eberron: Rising from the Last War,297,Medium,Undead,22.0,False,"necrotic, poison; bludgeoning, piercing, and slashing from nonmagical attacks","cold, lightning",,,I-N,R,,,R,I,I-N,I,,,I-N,
Basic Rules,142,Tiny,Beast,0.0,False,,,,,,,,,,,,,,,,
Monster Manual,205,Medium,Humanoid,4.0,False,,,,,,,,,,,,,,,,
Basic Rules,143,Medium,Humanoid,0.5,False,,,,,,,,,,,,,,,,
Ghosts of Saltmarsh,,Medium,Humanoid,0.25,False,,,,,,,,,,,,,,,,
Ghosts of Saltmarsh,,Large,Humanoid,3.0,False,,,,,,,,,,,,,,,,
Ghosts of Saltmarsh,,Medium,Humanoid,1.0,False,,,,,,,,,,,,,,,,
Monster Manual,205,Medium,Humanoid,2.0,False,,,,,,,,,,,,,,,,
Ghosts of Saltmarsh,,Medium,Humanoid,3.0,False,,,,,,,,,,,,,,,,
Guildmasters' Guide to Ravnica,170,Large,Construct,1.0,False,"poison, psychic",,,,,,,,,,,I,I,,,
Ghosts of Saltmarsh,,Medium,Humanoid,0.5,False,,,,,,,,,,,,,,,,
Ghosts of Saltmarsh,,Medium,Humanoid,2.0,False,,,,,,,,,,,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,223,Medium,Monstrosity,9.0,False,,"bludgeoning, piercing, and slashing while in dim light or darkness",,,R-D,,,,,,R-D,,,,R-D,
Strixhaven: A Curriculum of Chaos,197,Medium or Small,Humanoid,2.0,False,,,,,,,,,,,,,,,,
Strixhaven: A Curriculum of Chaos,197,Medium or Small,Humanoid,4.0,False,,,,,,,,,,,,,,,,
Strixhaven: A Curriculum of Chaos,198,Medium or Small,Humanoid,7.0,False,,,,,,,,,,,,,,,,
Strixhaven: A Curriculum of Chaos,198,Medium or Small,Humanoid,7.0,False,,force,,,,,,R,,,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,224,Medium,Monstrosity,7.0,False,,"bludgeoning, piercing, and slashing while in dim light or darkness",,,R-D,,,,,,R-D,,,,R-D,
Van Richten’s Guide to Ravenloft,237,Medium,Monstrosity,13.0,False,,,,,,,,,,,,,,,,
Spelljammer: Adventures in Space ,35,Medium,Dragon,2.0,False,cold,,,,,I,,,,,,,,,,
Infernal Machine Rebuild,54,Medium,Undead,5.0,False,poison,"necrotic, psychic",,,,,,,,R,,I,R,,,
Curse of Strahd,233,Medium,Humanoid,10.0,False,,,,,,,,,,,,,,,,
Storm King's Thunder,,Gargantuan,Elemental,23.0,False,"fire, poison","bludgeoning, piercing, and slashing damage from nonmagical attacks",,,R-N,,I,,,,R-N,I,,,R-N,
Basic Rules,164,Medium,Humanoid,6.0,False,,,,,,,,,,,,,,,,
Strixhaven: A Curriculum of Chaos,199,Large,Monstrosity,5.0,False,,,,,,,,,,,,,,,,
Eberron: Rising from the Last War,318,Medium,Humanoid,0.0,False,,,,,,,,,,,,,,,,
Critical Role: Call of the Netherdeep,189,Large,Giant,3.0,False,,,,,,,,,,,,,,,,
Critical Role: Call of the Netherdeep,191,Large,Giant,5.0,False,,,,,,,,,,,,,,,,
Critical Role: Call of the Netherdeep,194,Large,Giant,8.0,False,,psychic (granted by ruidium armor),,,,,,,,,,,R,,,
Basic Rules,331,Small,Elemental,0.5,False,"fire, poison",,cold,,,V,I,,,,,I,,,,
Basic Rules,329,Small,Elemental,0.5,False,fire,"bludgeoning, piercing, and slashing from nonmagical attacks",,,R-N,,I,,,,R-N,,,,R-N,
Baldur's Gate: Descent into Avernus,127,Medium,Fiend,14.0,False,"bludgeoning, piercing, and slashing from nonmagical attacks",,piercing from magic weapons wielded by good creatures,,I-N,,,,,,V,,,,I-N,
Mordenkainen Presents: Monsters of the Multiverse,231,Medium,Monstrosity,0.25,False,,,,,,,,,,,,,,,,
Out of the Abyss,,Medium,Monstrosity,0.25,True,,,,,,,,,,,,,,,,
Dead in Thay,,Huge,Monstrosity,10.0,False,lightning,"bludgeoning, piercing, and slashing from nonmagical attacks",,,R-N,,,,I,,R-N,,,,R-N,
Basic Rules,143,Huge,Beast,6.0,False,,,,,,,,,,,,,,,,
Monster Manual,60,Small,Fiend,0.125,False,poison,"cold, fire, lightning",,,,R,R,,R,,,I,,,,
Waterdeep: Dragon Heist,,Medium,Humanoid,13.0,False,,,,,,,,,,,,,,,,
Basic Rules,143,Large,Monstrosity,3.0,False,,,,,,,,,,,,,,,,
Tomb of Annihilation,,Large,Plant,1.0,False,,,,,,,,,,,,,,,,
Monster Manual,146,Large,Elemental,11.0,False,,"acid, cold, lightning",,R,,R,,,R,,,,,,,
Basic Rules,272,Large,Fiend,16.0,False,poison,"cold, fire, lightning; bludgeoning, piercing, and slashing from nonmagical attacks",,,R-N,R,R,,R,,R-N,I,,,R-N,
Princes of the Apocalypse,199,Medium,Monstrosity,8.0,False,,acid,,R,,,,,,,,,,,,
Volo's Guide to Monsters,216,Medium,Humanoid,3.0,True,,,,,,,,,,,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,172,Medium,Humanoid,3.0,False,,,,,,,,,,,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,173,Large,Construct,25.0,False,poison,"thunder; bludgeoning, piercing, and slashing from nonmagical attacks",,,R-N,,,,,,R-N,I,,,R-N,R
Mordenkainen’s Tome of Foes,213,Large,Construct,25.0,True,poison,"thunder; bludgeoning, piercing, and slashing from nonmagical attacks",,,R-N,,,,,,R-N,I,,,R-N,R
Lost Laboratory of Kwalish,,Medium,Humanoid,2.0,False,,,,,,,,,,,,,,,,
Guildmasters' Guide to Ravnica,196,Large,Fiend,9.0,False,poison,"cold, fire, lightning; bludgeoning, piercing, and slashing from nonmagical attacks",,,R-N,R,R,,R,,R-N,I,,,R-N,
Baldur's Gate: Descent into Avernus,234,Medium,Humanoid,4.0,False,,,,,,,,,,,,,,,,
Candlekeep Mysteries,9,Medium,Humanoid,5.0,False,,,,,,,,,,,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,174,Medium,Humanoid,5.0,False,,,,,,,,,,,,,,,,
Volo's Guide to Monsters,216,Medium,Humanoid,5.0,True,,,,,,,,,,,,,,,,
Basic Rules,144,Medium,Beast,0.125,False,,,,,,,,,,,,,,,,
Mordenkainen’s Tome of Foes,133,Medium,Fiend,7.0,True,poison,"cold, fire, lightning, necrotic; bludgeoning, piercing, and slashing from nonmagical attacks",,,R-N,R,R,,R,R,R-N,I,,,R-N,
Mordenkainen Presents: Monsters of the Multiverse,175,Medium,Fiend,7.0,False,poison,"cold, fire, lightning, necrotic; bludgeoning, piercing, and slashing from nonmagical attacks",,,R-N,R,R,,R,R,R-N,I,,,R-N,
Mordenkainen Presents: Monsters of the Multiverse,176,Medium,Fiend,1.0,False,poison,"cold, fire, lightning",,,,R,R,,R,,,I,,,,
Volo's Guide to Monsters,137,Medium,Fiend,1.0,True,poison,"cold, fire, lightning",,,,R,R,,R,,,I,,,,
Ghosts of Saltmarsh,,Huge,Monstrosity,7.0,False,,,,,,,,,,,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,177,Medium,Monstrosity,1.0,False,,,,,,,,,,,,,,,,
Mordenkainen’s Tome of Foes,214,Medium,Humanoid,1.0,True,,,,,,,,,,,,,,,,
Basic Rules,144,Medium,Monstrosity,6.0,False,,,,,,,,,,,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,178,Small,Fey,2.0,False,,,,,,,,,,,,,,,,
Volo's Guide to Monsters,170,Small,Fey,2.0,True,,,,,,,,,,,,,,,,
Spelljammer: Adventures in Space ,36,Gargantuan,Monstrosity,11.0,False,,,,,,,,,,,,,,,,
Mythic Odysseys of Theros,229,Medium,Humanoid,3.0,False,,,,,,,,,,,,,,,,
Waterdeep: Dragon Heist,,Medium,Humanoid,9.0,False,,,,,,,,,,,,,,,,
Spelljammer: Adventures in Space ,37,Large,Giant,5.0,False,,,,,,,,,,,,,,,,
The Wild Beyond the Witchlight,224,Medium,Humanoid,3.0,False,,,,,,,,,,,,,,,,
Basic Rules,144,Medium,Humanoid,0.125,False,,,,,,,,,,,,,,,,
Ghosts of Saltmarsh,,Medium,Humanoid,1.0,False,,,,,,,,,,,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,179,Medium,Fiend,4.0,False,"fire, poison","cold; bludgeoning, piercing, and slashing from nonmagical attacks that aren’t silvered",,,R-NS,R,I,,,,R-NS,I,,,R-NS,
Mordenkainen’s Tome of Foes,166,Medium,Fiend,4.0,True,"fire, poison","cold; bludgeoning, piercing, and slashing from nonmagical attacks that aren’t silvered",,,R-NS,R,I,,,,R-NS,I,,,R-NS,
Mordenkainen’s Tome of Foes,249,Medium,Fiend,3.0,True,"acid, poison","cold, fire, lightning; bludgeoning, piercing, and slashing from nonmagical attacks",,I,R-N,R,R,,R,,R-N,I,,,R-N,
Mordenkainen Presents: Monsters of the Multiverse,180,Medium,Fiend,3.0,False,"acid, poison","cold, fire, lightning; bludgeoning, piercing, and slashing from nonmagical attacks",,I,R-N,R,R,,R,,R-N,I,,,R-N,
Basic Rules,332,Large,Monstrosity,2.0,False,,,,,,,,,,,,,,,,
Explorer's Guide to Wildemount,294,Large,Monstrosity,4.0,False,,,,,,,,,,,,,,,,
Fizban's Treasury of Dragons,210,Medium,Construct,4.0,False,fire,,,,,,I,,,,,,,,,
Fizban's Treasury of Dragons,210,Tiny,Construct,0.25,False,fire,,,,,,I,,,,,,,,,
Monster Manual,313,Medium,Fiend,5.0,False,"acid, poison","cold, fire, lightning; bludgeoning, piercing, and slashing from nonmagical attacks",,I,R-N,R,R,,R,,R-N,I,,,R-N,
Candlekeep Mysteries,16,Large,Undead,22.0,False,"cold, necrotic, poison","acid, fire, lightning, thunder",,R,,I,R,,R,I,,I,,,,R
Basic Rules,332,Medium,Monstrosity,2.0,False,acid,,,I,,,,,,,,,,,,
Guildmasters' Guide to Ravnica,224,Medium,Undead,4.0,False,,necrotic,,,,,,,,R,,,,,,
Monster Manual,222,Medium,Aberration,7.0,False,,,,,,,,,,,,,,,,
Monster Manual,222,Medium,Aberration,7.0,False,,,,,,,,,,,,,,,,
Guildmasters' Guide to Ravnica,233,Medium,Humanoid,5.0,False,,,,,,,,,,,,,,,,
Volo's Guide to Monsters,176,Large,Aberration,5.0,True,,,,,,,,,,,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,181,Large,Aberration,5.0,False,,,,,,,,,,,,,,,,
Basic Rules,145,Large,Monstrosity,3.0,False,,,,,,,,,,,,,,,,
Ghosts of Saltmarsh,,Large,Construct,6.0,False,"lightning, poison",,force,,,,,V,I,,,I,,,,
Basic Rules,346,Large,Undead,2.0,False,poison,,bludgeoning,,V,,,,,,,I,,,,
Princes of the Apocalypse,198,Medium,Humanoid,6.0,False,,,,,,,,,,,,,,,,
Waterdeep: Dragon Heist,,Medium,Humanoid,9.0,False,,,,,,,,,,,,,,,,
The Wild Beyond the Witchlight,26,Medium,Humanoid,3.0,False,,necrotic,lightning,,,,,,V,R,,,,,,
The Wild Beyond the Witchlight,25,Medium,Humanoid,3.0,False,,necrotic,,,,,,,,R,,,,,,
Mordenkainen's Fiendish Folio Volume 1,14,Small,Fey,0.25,False,,,,,,,,,,,,,,,,
Infernal Machine Rebuild,55,Medium,Humanoid,12.0,False,,,,,,,,,,,,,,,,
The Wild Beyond the Witchlight,226,Medium,Humanoid,3.0,False,,,,,,,,,,,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,183,Large,Fiend,21.0,False,"fire, poison","cold; bludgeoning, piercing, and slashing from nonmagical attacks that aren’t silvered",,,R-NS,R,I,,,,R-NS,I,,,R-NS,
Mordenkainen’s Tome of Foes,176,Large,Fiend,21.0,True,"fire, poison","cold; bludgeoning, piercing, and slashing from nonmagical attacks that aren’t silvered",,,R-NS,R,I,,,,R-NS,I,,,R-NS,
Mordenkainen Presents: Monsters of the Multiverse,184,Huge,Fiend,21.0,False,poison,"cold, fire, lightning; bludgeoning, piercing, and slashing from nonmagical attacks",,,R-N,R,R,,R,,R-N,I,,,R-N,
Mordenkainen’s Tome of Foes,134,Huge,Fiend,21.0,True,poison,"cold, fire, lightning, necrotic; bludgeoning, piercing, and slashing from nonmagical attacks",,,R-N,R,R,,R,R,R-N,I,,,R-N,
Critical Role: Call of the Netherdeep,201,Medium or Small,Humanoid,10.0,False,,psychic,,,,,,,,,,,R,,,
Critical Role: Call of the Netherdeep,202,Medium or Small,Humanoid,6.0,False,,psychic,,,,,,,,,,,R,,,
Critical Role: Call of the Netherdeep,202,Medium or Small,Humanoid,5.0,False,,,,,,,,,,,,,,,,
Curse of Strahd,234,Medium,Humanoid,0.25,False,,,,,,,,,,,,,,,,
Monster Manual,224,Medium,Construct,0.125,False,,,,,,,,,,,,,,,,
Ghosts of Saltmarsh,,Large,Monstrosity,11.0,False,,,,,,,,,,,,,,,,
Fizban's Treasury of Dragons,213,Medium,Dragon,2.0,False,,,,,,,,,,,,,,,,
Explorer's Guide to Wildemount,295,Large,Beast,1.0,False,,,,,,,,,,,,,,,,
Eberron: Rising from the Last War,301,Medium,Fiend,15.0,False,,"bludgeoning, piercing, and slashing from nonmagical attacks not made with silvered weapons",piercing from magic weapons wielded by good creatures,,R-NS,,,,,,V,,,,R-NS,
Acquisitions Incorporated,199,Medium,Humanoid,4.0,False,,,,,,,,,,,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,186,Large,Aberration,11.0,False,,,,,,,,,,,,,,,,
Volo's Guide to Monsters,178,Medium,Aberration,11.0,True,,"bludgeoning, piercing, and slashing from nonmagical attacks",,,R-N,,,,,,R-N,,,,R-N,
Lost Mine of Phandelver,59,Medium,Undead,3.0,False,"necrotic, poison","acid, cold, fire, lightning, thunder; bludgeoning, piercing, and slashing from nonmagical weapons that aren’t silvered",,R,R-NS,R,R,,R,I,R-NS,I,,,R-NS,R
Baldur's Gate: Descent into Avernus,26,Medium,Humanoid,3.0,False,,,,,,,,,,,,,,,,
Icewind Dale: Rime of the Frostmaiden,304,Medium,Beast,0.125,False,,,,,,,,,,,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,187,Huge,Giant,6.0,False,,,,,,,,,,,,,,,,
Volo's Guide to Monsters,149,Huge,Giant,6.0,True,,,,,,,,,,,,,,,,
Ghosts of Saltmarsh,,Medium,Aberration,10.0,False,necrotic,,,,,,,,,I,,,,,,
Monster Manual,216,Small,Elemental,0.25,False,poison,,,,,,,,,,,I,,,,
Waterdeep: Dungeon of the Mad Mage,,Large,Monstrosity,13.0,False,,,,,,,,,,,,,,,,
Basic Rules,145,Medium,Beast,0.125,False,,,,,,,,,,,,,,,,
Basic Rules,145,Medium,Undead,3.0,False,"necrotic, poison","bludgeoning, piercing, and slashing from nonmagical attacks",fire,,R-N,,V,,,I,R-N,I,,,R-N,
Basic Rules,334,Medium,Undead,15.0,False,"necrotic, poison; bludgeoning, piercing, and slashing from nonmagical attacks",,fire,,I-N,,V,,,I,I-N,I,,,I-N,
Spelljammer: Adventures in Space ,38,Medium,Elemental,5.0,False,"fire, poison",,,,,,I,,,,,I,,,,
Tomb of Annihilation,,Medium,Humanoid,0.125,False,,,,,,,,,,,,,,,,
Monster Manual,232,Medium,Plant,0.5,False,,,,,,,,,,,,,,,,
Monster Manual,232,Large,Plant,2.0,False,,,,,,,,,,,,,,,,
Monster Manual,230,Small,Plant,0.0,False,,,,,,,,,,,,,,,,
Mordenkainen’s Tome of Foes,135,Medium,Fiend,15.0,True,poison,"cold, fire, lightning, necrotic; bludgeoning, piercing, and slashing from nonmagical attacks",,,R-N,R,R,,R,R,R-N,I,,,R-N,
Mordenkainen Presents: Monsters of the Multiverse,188,Medium,Fiend,15.0,False,poison,"cold, fire, lightning; bludgeoning, piercing, and slashing from nonmagical attacks",,,R-N,R,R,,R,,R-N,I,,,R-N,
Rise of Tiamat,,Medium,Undead,11.0,False,poison,"necrotic; bludgeoning, piercing, and slashing from nonmagical weapons that aren’t silvered",,,R-NS,,,,,R,R-NS,I,,,R-NS,
Mordenkainen’s Tome of Foes,215,Medium,Humanoid,17.0,True,,,,,,,,,,,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,189,Medium,Monstrosity,17.0,False,,,,,,,,,,,,,,,,
Mythic Odysseys of Theros,236,Medium,Fey,2.0,False,poison,psychic,,,,,,,,,,I,R,,,
Basic Rules,272,Large,Fiend,13.0,False,poison,"cold, fire, lightning; bludgeoning, piercing, and slashing from nonmagical attacks",,,R-N,R,R,,R,,R-N,I,,,R-N,
Out of the Abyss,,Small,Humanoid,2.0,False,,,,,,,,,,,,,,,,
Mordenkainen’s Tome of Foes,167,Medium,Fiend,13.0,True,"fire, poison","acid, cold; bludgeoning, piercing, and slashing from nonmagical attacks that aren’t silvered",,R,R-NS,R,I,,,,R-NS,I,,,R-NS,
Mordenkainen Presents: Monsters of the Multiverse,190,Medium,Fiend,13.0,False,"fire, poison","acid, cold; bludgeoning, piercing, and slashing from nonmagical attacks that aren’t silvered",,R,R-NS,R,I,,,,R-NS,I,,,R-NS,
Icewind Dale: Rime of the Frostmaiden,272,Medium,Undead,6.0,False,"cold, necrotic, poison","acid, fire, lightning, thunder; bludgeoning, piercing, and slashing damage that isn’t magical",,R,R-N,I,R,,R,I,R-N,I,,,R-N,R
Van Richten’s Guide to Ravenloft,238,Medium,Undead,7.0,False,,"acid, necrotic",,R,,,,,,R,,,,,,
Volo's Guide to Monsters,217,Medium,Humanoid,9.0,True,,necrotic,,,,,,,,R,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,264,Medium,Humanoid,9.0,False,,necrotic,,,,,,,,R,,,,,,
Baldur's Gate: Descent into Avernus,234,Medium,Humanoid,0.5,False,,,,,,,,,,,,,,,,
Monster Manual,32,Medium,Plant,0.25,False,,,,,,,,,,,,,,,,
Mordenkainen's Fiendish Folio Volume 1,16,Large,Plant,3.0,False,,,,,,,,,,,,,,,,
Mordenkainen's Fiendish Folio Volume 1,16,Medium,Plant,0.5,False,,,,,,,,,,,,,,,,
Spelljammer: Adventures in Space ,39,Large,Aberration,4.0,False,,,,,,,,,,,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,192,Small,Aberration,3.0,False,,,,,,,,,,,,,,,,
Volo's Guide to Monsters,180,Small,Aberration,3.0,True,,,,,,,,,,,,,,,,
Volo's Guide to Monsters,179,Tiny,Aberration,0.125,True,,,,,,,,,,,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,191,Tiny,Aberration,0.125,False,,,,,,,,,,,,,,,,
Spelljammer: Adventures in Space ,40,Medium,Aberration,3.0,False,,"bludgeoning, piercing, slashing",,,R,,,,,,R,,,,R,
Mordenkainen Presents: Monsters of the Multiverse,192,Medium,Aberration,4.0,False,,,,,,,,,,,,,,,,
Volo's Guide to Monsters,180,Medium,Aberration,4.0,True,,,,,,,,,,,,,,,,
Spelljammer: Adventures in Space ,41,Small,Aberration,3.0,False,,,,,,,,,,,,,,,,
Spelljammer: Adventures in Space ,41,Medium,Aberration,4.0,False,,,,,,,,,,,,,,,,
Infernal Machine Rebuild,75,Huge,Aberration,7.0,False,,,,,,,,,,,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,193,Gargantuan,Aberration,13.0,False,,,,,,,,,,,,,,,,
Volo's Guide to Monsters,181,Gargantuan,Aberration,13.0,True,,,,,,,,,,,,,,,,
The Hidden Shrine of Tamoachan,,Medium,Fey,2.0,False,,,,,,,,,,,,,,,,
Explorer's Guide to Wildemount,296,Large,Fiend,3.0,False,"fire, poison","cold; bludgeoning, piercing, and slashing from nonmagical attacks that aren’t silvered",,,R-NS,R,I,,,,R-NS,I,,,R-NS,
Rise of Tiamat,,Medium,Humanoid,9.0,False,poison,,,,,,,,,,,I,,,,
Lost Mine of Phandelver,59,Medium,Humanoid,2.0,False,,,,,,,,,,,,,,,,
Baldur's Gate: Descent into Avernus,233,Medium,Humanoid,0.25,False,,,,,,,,,,,,,,,,
Basic Rules,319,Medium,Fiend,5.0,False,,"cold, fire; bludgeoning, piercing, and slashing from nonmagical attacks that aren’t silvered",,,R-NS,R,R,,,,R-NS,,,,R-NS,
Spelljammer: Adventures in Space ,49,Huge,Monstrosity,5.0,False,,,,,,,,,,,,,,,,
Basic Rules,336,Large,Fiend,3.0,False,fire,,,,,,I,,,,,,,,,
Monstrous Compendium Volume One: Spelljammer Creatures,10,Gargantuan,Monstrosity,16.0,False,,,,,,,,,,,,,,,,
Mythic Odysseys of Theros,221,Large,Fiend,11.0,False,poison,"cold, necrotic",,,,R,,,,R,,I,,,,
Guildmasters' Guide to Ravnica,215,Medium,Undead,10.0,False,poison,"necrotic; bludgeoning, piercing, and slashing from nonmagical attacks",,,R-N,,,,,R,R-N,I,,,R-N,
Mordenkainen’s Tome of Foes,216,Huge,Undead,20.0,True,"necrotic, poison","acid, cold, fire, lightning, thunder; bludgeoning, piercing, and slashing from nonmagical attacks",,R,R-N,R,R,,R,I,R-N,I,,,R-N,R
Mordenkainen Presents: Monsters of the Multiverse,194,Huge,Undead,20.0,False,"necrotic, poison","acid, cold, fire, lightning, thunder; bludgeoning, piercing, and slashing from nonmagical attacks",,R,R-N,R,R,,R,I,R-N,I,,,R-N,R
Mordenkainen Presents: Monsters of the Multiverse,195,Small,Fey,1.0,False,,,,,,,,,,,,,,,,
Volo's Guide to Monsters,182,Small,Humanoid,1.0,True,,,,,,,,,,,,,,,,
Waterdeep: Dragon Heist,,Medium,Construct,4.0,False,,"bludgeoning, piercing, and slashing from nonmagical attacks",,,R-N,,,,,,R-N,,,,R-N,
Baldur's Gate: Descent into Avernus,170,Medium,Humanoid,5.0,False,,,,,,,,,,,,,,,,
Candlekeep Mysteries,197,Large,Fey,16.0,False,,,,,,,,,,,,,,,,
Guildmasters' Guide to Ravnica,216,Large,Giant,8.0,False,"poison, psychic",,,,,,,,,,,I,I,,,
Guildmasters' Guide to Ravnica,241,Gargantuan,Dragon,26.0,False,"fire, lightning","cold, psychic, thunder",,,,R,I,,I,,,,R,,,R
Basic Rules,401,Medium,Humanoid,0.125,False,,,,,,,,,,,,,,,,
Mordenkainen's Fiendish Folio Volume 1,17,Small,Humanoid,0.5,False,,,,,,,,,,,,,,,,
Mordenkainen's Fiendish Folio Volume 1,17,Small,Humanoid,3.0,False,,,,,,,,,,,,,,,,
Van Richten’s Guide to Ravenloft,239,Medium,Undead,8.0,False,,necrotic,,,,,,,,R,,,,,,
Basic Rules,146,Medium,Aberration,2.0,False,,,,,,,,,,,,,,,,
Mordenkainen’s Tome of Foes,168,Medium,Fiend,0.5,True,"fire, poison","acid, cold; bludgeoning, piercing, and slashing from nonmagical attacks that aren’t silvered",,R,R-NS,R,I,,,,R-NS,I,,,R-NS,
Mordenkainen Presents: Monsters of the Multiverse,196,Medium,Fiend,0.5,False,"fire, poison","acid, cold",,R,,R,I,,,,,I,,,,
Monster Manual,314,Large,Fiend,9.0,False,"acid, poison","cold, fire, lightning; bludgeoning, piercing, and slashing from nonmagical attacks",,I,R-N,R,R,,R,,R-N,I,,,R-N,
Mythic Odysseys of Theros,233,Medium,Monstrosity,1.0,False,,,,,,,,,,,,,,,,
Acquisitions Incorporated,205,Medium,Humanoid,2.0,False,,,,,,,,,,,,,,,,
Mordenkainen’s Tome of Foes,126,Medium,Construct,5.0,True,"poison; bludgeoning, piercing, and slashing from nonmagical attacks that aren’t adamantine",,,,I-NA,,,,,,I-NA,I,,,I-NA,
Mordenkainen’s Tome of Foes,217,Tiny,Ooze,0.25,True,,,,,,,,,,,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,197,Tiny,Ooze,0.25,False,,,,,,,,,,,,,,,,
Guildmasters' Guide to Ravnica,245,Medium,Undead,8.0,False,"necrotic, poison","acid, cold, fire, lightning, thunder; bludgeoning, piercing, and slashing from nonmagical attacks",,R,R-N,R,R,,R,I,R-N,I,,,R-N,R
Critical Role: Call of the Netherdeep,204,Medium or Small,Humanoid,6.0,False,,psychic,,,,,,,,,,,R,,,
Critical Role: Call of the Netherdeep,205,Medium or Small,Humanoid,2.0,False,,,,,,,,,,,,,,,,
Critical Role: Call of the Netherdeep,205,Medium or Small,Humanoid,8.0,False,,psychic,,,,,,,,,,,R,,,
Ghosts of Saltmarsh,,Medium,Humanoid,0.5,False,,,,,,,,,,,,,,,,
Basic Rules,146,Large,Ooze,2.0,False,"lightning, slashing",acid,,R,,,,,I,,,,,,I,
Basic Rules,146,Small,Beast,0.0,False,,,,,,,,,,,,,,,,
Basic Rules,147,Large,Giant,2.0,False,,,,,,,,,,,,,,,,
Mordenkainen’s Tome of Foes,220,Large,Giant,4.0,True,,,,,,,,,,,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,200,Large,Giant,4.0,False,,,,,,,,,,,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,200,Large,Giant,2.0,False,,,,,,,,,,,,,,,,
Mordenkainen’s Tome of Foes,220,Large,Giant,2.0,True,,,,,,,,,,,,,,,,
Mordenkainen’s Tome of Foes,221,Large,Giant,3.0,True,,,,,,,,,,,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,201,Large,Giant,3.0,False,,,,,,,,,,,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,201,Large,Giant,2.0,False,,,,,,,,,,,,,,,,
Mordenkainen’s Tome of Foes,221,Large,Giant,2.0,True,,,,,,,,,,,,,,,,
Basic Rules,357,Large,Undead,2.0,False,poison,,,,,,,,,,,I,,,,
Princes of the Apocalypse,216,Gargantuan,Elemental,20.0,False,poison,"bludgeoning, piercing, and slashing damage from nonmagical weapons",,,R-N,,,,,,R-N,I,,,R-N,
Mordenkainen’s Tome of Foes,251,Medium,Fiend,12.0,True,"acid, poison","cold, fire, lightning; bludgeoning, piercing, and slashing from nonmagical attacks",,I,R-N,R,R,,R,,R-N,I,,,R-N,
